#,Company_Name,Aktenzeichen,Date_Incorporation,CMP_Status,Amtsgericht,Street,Postcode,City,Industry,WZ2008,Startup_Website,LinkedIn_URL,Crunchbase_URL,Northdata_URL,Comment,Founding_Team_Size
20,LeaseHub GmbH,HRB 19677,2021-12-29,A,Memmingen,Marlene-Dietrich-Straße 5,D-89231,Neu-Ulm,Werbung,62,https://leasehub.de/,https://www.linkedin.com/company/leasehub-software/,–,"https://www.northdata.com/LeaseHub+GmbH,+Erbach/Amtsgericht+Ulm+HRB+745209",,2
21,MAYLA GmbH,HRB 172892,2021-12-29,A,Hamburg,Alter Wall 32,D-20457,Hamburg,Mobilität,30,https://www.mayla-yacht.com/,https://www.linkedin.com/company/mayla-yacht/,,"https://www.northdata.com/MAYLA+GmbH,+Hamburg/HRB+172892",,2
22,Megavoid Studios GmbH,HRB 10615,2021-12-29,A,Hamm,Auf der Alm 17,D-59192,Bergkamen,Gaming,62,https://www.infinite-realms.de/,–,–,"https://www.northdata.com/Megavoid+Studios+GmbH,+Bergkamen/Amtsgericht+Hamm+HRB+10615",sidehustle,2
23,OneStop Pro Software Solutions GmbH,HRB 11640,2021-12-29,A,Passau,Tittlinger Straße 39,D-94034,Passau,Bauwesen,62,https://www.onestop-pro.com/,https://www.linkedin.com/company/onestop-pro-asset-management/,–,"https://www.northdata.com/OneStop+Pro+Software+Solutions+GmbH,+Passau/HRB+11640","startup, corporate spinoff",1
24,Privory GmbH,HRB 742471,2021-12-29,A,Mannheim,Kirschgartenstraße 37,D-69126,Heidelberg,Software,62,https://privory.de/,–,–,"https://www.northdata.com/Privory+GmbH,+Heidelberg/Amtsgericht+Mannheim+HRB+742471",,2
25,Solarportal GmbH,HRB 37548 HB,2021-12-29,A,Bremen,An der Reeperbahn 6,D-28217,Bremen,Energie,63,https://www.solarportal.de/,–,–,"https://www.northdata.com/Interlead+Technologies+GmbH,+Bremen/HRB+37548",Umbenann: Interlead Technologies GmbH ,1
26,Sustainable Manufacturing GmbH,HRB 217677,2021-12-29,A,Oldenburg,Industriepark 7,D-27777,Ganderkesee,eCommerce,32,,,,,,0
27,SUSTAINX GmbH,HRB 272078,2021-12-29,A,München,Max-Joseph-Straße 6,D-80333,München,Umwelttechnologie,63,https://sustainx.de/,https://www.linkedin.com/company/sustainability-transformation/,,,,0
28,VoteBase GmbH,HRB 108828,2021-12-29,A,Köln,Wingertsheide 15,D-51427,Bergisch Gladbach,Software,62,https://votebase.io/,https://www.linkedin.com/company/votebase-gmbh,,,,0
29,Altea Vision GmbH,HRB 222868,2021-12-28,A,Hannover,Würzburger Straße 15,D-30880,Laatzen,Medizin,21,https://altea-vision.de/,,,,,0
