#,Company_Name,Aktenzeichen,Date_Incorporation,CMP_Status,Amtsgericht,Street,Postcode,City,Industry,WZ2008,Startup_Website,LinkedIn_URL,Crunchbase_URL,Northdata_URL,Comment,Founding_Team_Size
4830,kawaloo GmbH,HRB 219020 B,2020-07-10,A,Charlottenburg (Berlin),Rheinsberger Straße 76/77,D-10115,Berlin,Logistik,62,https://www.kawaloo.de/,https://www.linkedin.com/in/marcel-wipijewski-45890660/,,,,0
4831,Kiwee Solutions GmbH,HRB 736985,2020-07-10,A,Mannheim,Über der Höhe 16,D-76689,Karlsdorf-Neuthard,Industrie,62,http://kiwee.de/,,,,,0
4832,Legal Port GmbH,HRB 37666,2020-07-10,A,Leipzig,Reichsstraße 1 - 9,D-04109,Leipzig,Rechtsberatung,62,https://www.mykitaplatz.de/,,,,,0
4833,nb-flow GmbH,HRB 15292,2020-07-10,A,Kempten,Rebhalde 2,D-88149,Nonnenhorn,Hardware,26,https://nb-flow.com/,,,,,0
4834,NextLevel Laboratories UG (haftungsbeschränkt),HRB 33085,2020-07-10,A,Duisburg,Wewelstraße 33,D-46149,Oberhausen,Lebensmittel,10,,,,,,0
4835,noah GmbH,HRB 37665,2020-07-10,A,Leipzig,Augustusplatz 1-4,D-04109,Leipzig,Immobilien,62,https://noah.tech/,https://www.linkedin.com/company/noah-systems/,,,,0
4836,Prevent.ai GmbH,HRB 218996 B,2020-07-10,IL,Charlottenburg (Berlin),Warnowstraße 13 A,D-12524,Berlin,Medizin,62,https://prevent.ai/,,,,,0
4837,Scobees UG (haftungsbeschränkt),HRB 102317,2020-07-10,A,Köln,Richard-Wagner-Straße 51,D-50674,Köln,Bildung,85,https://scobees.com/,,,,,0
4838,Somigo GmbH,HRB 102318,2020-07-10,A,Köln,Venloer Straße 252,D-50823,Köln,Personal,78,https://somigo.de/,https://www.linkedin.com/company/somigo/,,,,0
4839,Aloha Foods GmbH,HRB 257673,2020-07-09,A,München,Harthauser Straße 23,D-81545,München,Lebensmittel,10,https://www.aloha-granola.de,,,,,0
4840,ArticleXpress UG (haftungsbeschränkt),HRB 257681,2020-07-09,A,München,Virgilstraße 31,D-81673,München,Medien,62,https://articlexpress.de,,,,,0
4841,Calayag GmbH,HRB 257685,2020-07-09,A,München,Franziska-Bilek-Weg 5,D-80339,München,Medizin,62,https://landing.carekompas.com/,https://www.linkedin.com/company/carekompas,,,,0
4842,ENMOSOL GmbH,HRB 40179,2020-07-09,A,Dresden,Gostritzer Straße 61,D-01217,Dresden,Energie,27,http://enmosol.de,,,,,0
4843,LMG Less is More Groceries UG (haftungsbeschränkt),HRB 218942 B,2020-07-09,A,Charlottenburg (Berlin),"c/o Factory Works GmbH, Rheinsberger Straße 76/77",D-10115,Berlin,Lebensmittel,49,,https://www.linkedin.com/company/less-groceries/,,,,0
4844,nirgend GmbH,HRB 7241,2020-07-09,A,Bayreuth,St. Georgen 15,D-95448,Bayreuth,Dienstleistung,70,https://nirgend.media/,https://www.linkedin.com/company/nirgend/,,,,0
4845,Servondo GmbH,HRB 18810,2020-07-09,A,Memmingen,Daimlerstraße 16,D-89233,Neu-Ulm,Lebensmittel,62,https://servondo.de/,,,,,0
4846,Soil & More Impacts GmbH,HRB 163519,2020-07-09,A,Hamburg,Buttstraße 3,D-22767,Hamburg,Landwirtschaft,62,https://www.soilandmore.com/,https://www.linkedin.com/company/soilandmoreimpacts/,,,,0
4847,TRAINIO UG (haftungsbeschränkt),HRB 28785,2020-07-09,A,Koblenz,Am Distelberg 10,D-63477,Maintal,Sport,62,https://www.trainio.de/,https://www.linkedin.com/company/trainio1/,,,,0
4848,VicuTec Biologicals GmbH,HRB 31961,2020-07-09,A,Dortmund,Otto-Hahn-Straße 15,D-44227,Dortmund,Medizin,21,http://www.vicutec.eu,,,,,0
4849,202up GmbH,HRB 218883 B,2020-07-08,A,Charlottenburg (Berlin),Kohlfurter Straße 41/43,D-10999,Berlin,Immobilien,62,http://202up.de/,https://www.linkedin.com/company/202up-gmbh/about/,,,,0
4850,BME Next Level GmbH,HRB 20115 HL,2020-07-08,A,Lübeck,Theaterplatz 5,D-23909,Ratzeburg,eCommerce,47,,,,,,0
4851,Checkly GmbH,HRB 218903 B,2020-07-08,A,Charlottenburg (Berlin),Kopernikusstraße 35,D-10243,Berlin,Software,62,https://www.checklyhq.com/,https://www.linkedin.com/company/checkly/,,,,0
4852,delian advisory GmbH,HRB 34010 P,2020-07-08,A,Potsdam,David-Gilly-Straße 1,D-14469,Potsdam,Sport,62,https://mycoach.club,,,,,0
4853,Enqome UG (haftungsbeschränkt),HRB 10533,2020-07-08,A,Königstein,Am Königsbachtal 32.2,D-65817,Eppstein,Bildung,62,https://enqome.com/,,,,,0
4854,FACEN UG (haftungsbeschränkt),HRB 34028 P,2020-07-08,A,Potsdam,"c/o Frau Tuyen Tran, Pierre-de-Gayette-Straße 16",D-14480,Potsdam,eCommerce,62,https://www.facen.co/,https://www.linkedin.com/company/facen-ug/,,,,0
4855,FAVE Labs GmbH,HRB 163485,2020-07-08,A,Hamburg,Budapester Straße 45,D-20359,Hamburg,eCommerce,32,https://groomedrooster.com/,https://www.linkedin.com/company/favelabs/,,,,0
4856,Milchmann & Co. Liefermarkt UG (haftungsbeschränkt),HRB 18720,2020-07-08,IL,Münster,Viktoriastraße 4,D-42929,Wermelskirchen,Lebensmittel,62,https://milchmann.app/,,,,,0
4857,pandapass GmbH,HRB 257642,2020-07-08,A,München,Kazmairstraße 27,D-80339,München,Tourismus,62,http://pandapass.de/,https://www.linkedin.com/company/pandapass-gmbh/,,,,0
4858,Simity UG (haftungsbeschränkt),HRB 220123,2020-07-08,A,Hannover,Sophienstraße 6,D-30159,Hannover,Software,62,https://simity.de/,,,,,0
4859,SuperX GmbH,HRB 218902 B,2020-07-08,A,Charlottenburg (Berlin),Oranienburger Straße 91,D-10178,Berlin,Software,62,https://superchat.de/,https://www.linkedin.com/company/superchatde/,,,,0
4860,Tech Solutions GmbH,HRB 163496,2020-07-08,A,Hamburg,Borselstraße 3,D-22765,Hamburg,Werbung,62,,,,,,0
4861,Turnbull Holding GmbH,HRB 163501,2020-07-08,A,Hamburg,Schaarsteinwegsbrücke 2,D-20459,Hamburg,Personal,62,https://staging.turnbull.app,https://www.linkedin.com/company/turnbull-club/,,,,0
4862,Zippeo Technologies UG (haftungsbeschränkt),HRB 218917 B,2020-07-08,A,Charlottenburg (Berlin),Heinrich-Heine-Straße 38 c,D-10179,Berlin,Software,62,http://zippr.io/,https://www.linkedin.com/company/zippeo/?originalSubdomain=de,,,,0
4863,apocha UG (haftungsbeschränkt),HRB 15286,2020-07-07,A,Kempten,Im Brachmoos 12,D-88149,Nonnenhorn,Finanzbereich,62,https://apocha.de/,,,,,0
4864,baseclick Vaccine GmbH,HRB 257610,2020-07-07,A,München,Floriansbogen 2-4,D-82061,Neuried,Medizin,72,https://www.baseclick.eu/,,,,,0
4865,Emcomy GmbH,HRB 257608,2020-07-07,A,München,Hardenstraße 25 a,D-80935,München,Software,62,https://emcomy.de,,,,,0
4866,Independesk GmbH,HRB 218855 B,2020-07-07,A,Charlottenburg (Berlin),Nordlichtstraße 75,D-13405,Berlin,Personal,62,https://independesk.com/,https://www.linkedin.com/company/independesk/,,,,0
4867,Nutringo GmbH,HRB 163474,2020-07-07,A,Hamburg,Maukestieg 2,D-22119,Hamburg,Lebensmittel,10,https://www.nutringo.de/,,,,,0
4868,Plantamon UG (haftungsbeschränkt),HRB 214894,2020-07-07,A,Osnabrück,Bahnhofstraße 62,D-48488,Emsbüren,eCommerce,32,http://plantamon.de/,https://www.linkedin.com/company/plantamon/,,,,0
4869,YEOGA GmbH,HRB 100633,2020-07-07,A,Darmstadt,Neckarstraße 44,D-65462,Ginsheim-Gustavsburg,Tourismus,93,https://yeoga.de/,,,,,0
4870,Ayulicious GmbH,HRB 218810 B,2020-07-06,A,Charlottenburg (Berlin),Schulenburgring 5,D-12101,Berlin,Sport,62,http://ayulicious.de/,,,,,0
4871,Concrete Jungle GmbH & Co. KG,HRA 51429,2020-07-06,A,Frankfurt am Main,Gwinnerstraße 46,D-60388,Frankfurt am Main,eCommerce,23,https://concrete-jungle.de/,,,,,0
4872,FitnessKIT GmbH,HRB 740105,2020-07-06,A,Mannheim,Bahnhofstraße 5b,D-76698,Ubstadt-Weiher,Sport,32,https://fitness-kit.de/,,,,,0
4873,GoFrisch UG (haftungsbeschränkt),HRB 774459,2020-07-06,IL,Stuttgart,Haselstraße 33,D-67659,Kaiserslautern,Lebensmittel,62,http://gofrisch.de/,,,,,0
4874,Green Riding UG (haftungsbeschränkt),HRB 100627,2020-07-06,A,Darmstadt,Hauptstraße Nord 52,D-69483,Wald-Michelbach,Mobilität,62,https://green-riding.com/,https://www.linkedin.com/company/green-riding/,,,,0
4875,Lean Labs Pharma GmbH,HRB 740285,2020-07-06,A,Ulm,Lindauer Straße 9,D-88239,Wangen im Allgäu,Medizin,21,http://lean-labs.de/,https://www.linkedin.com/company/lean-labs-ug/,,,,0
4876,MFG Capital GmbH,HRB 49688,2020-07-06,A,Mainz,Anni-Eisler-Lehmann-Straße 3,D-55122,Mainz,eCommerce,32,http://lefurell.com/,,,,,0
4877,Plan3t GmbH,HRB 163429,2020-07-06,A,Hamburg,Max-Brauer-Allee 22,D-22765,Hamburg,eCommerce,62,https://plan3t.one,,,,,0
4878,BLOXS GmbH,HRB 257573,2020-07-04,A,München,Tölzer Straße 37,D-82031,Grünwald,Immobilien,62,https://www.socialbloxs.com/,https://www.linkedin.com/company/socialbloxs-gmbh,,,,0
4879,Chaincentive UG (haftungsbeschränkt),HRB 15165,2020-07-04,A,Würzburg,Bachgasse 1,D-97070,Würzburg,Blockchain / Crypto,62,http://chaincentive.de/,https://www.linkedin.com/company/chaincentive/,,,,0
4880,Summit Capital & Management GmbH,HRB 90287,2020-07-04,A,Düsseldorf,Mörsenbroicher Weg 49,D-40470,Düsseldorf,eCommerce,47,http://exoticswear.de/,,,,,0
4881,Abowire GmbH,HRB 218755 B,2020-07-03,A,Charlottenburg (Berlin),Kleine Präsidentenstraße 1,D-10178,Berlin,Finanzbereich,62,https://abowire.com/,https://www.linkedin.com/company/abowire/,,,,0
4882,EpiXR Games UG (haftungsbeschränkt),HRB 218775 B,2020-07-03,A,Charlottenburg (Berlin),Rheinstraße 34,D-12161,Berlin,Gaming,62,https://www.epixrgames.com/,,,,,0
4883,Fast Forward Discoveries GmbH,HRB 119609,2020-07-03,A,Frankfurt am Main,Theodor-Kutzer-Ufer 1-3,D-68167,Mannheim,Medizin,86,https://fast-forward-discoveries.com,https://www.linkedin.com/company/fast-forward-discoveries-gmbh/,,,,0
4884,iComplai UG (haftungsbeschränkt),HRB 257550,2020-07-03,A,München,"Mühlfeldweg 8, c/o Asli Solmaz-Kaiser",D-85748,Garching b. München,Lebensmittel,62,https://www.icomplai.com/,https://www.linkedin.com/company/icomplai/,,,,0
4885,kiresult UG (haftungsbeschränkt),HRB 102203,2020-07-03,A,Köln,Oststraße 2-4,D-51766,Engelskirchen,Finanzbereich,62,https://kiresult.com/,https://www.linkedin.com/company/kiresult/,,,,0
4886,Leaf Culture GmbH,HRB 119607,2020-07-03,A,Frankfurt am Main,"c/o Tech Quartier, Platz der Einheit 2",D-60327,Frankfurt am Main,eCommerce,47,https://www.naturblatt.eu/,https://www.linkedin.com/company/naturblatt/,,,,0
4887,lvl2 GmbH,HRB 218797 B,2020-07-03,A,Charlottenburg (Berlin),Rheinsberger Straße 76/77,D-10115,Berlin,eCommerce,47,,,,,,0
4888,Modernhunter UG (haftungsbeschränkt),HRB 13365,2020-07-03,A,Arnsberg,Selkentrop 18,D-57392,Schmallenberg,Software,62,https://www.modernhunter.de/,,,,,0
4889,neomento GmbH,HRB 218751 B,2020-07-03,A,Charlottenburg (Berlin),Esmarchstraße 2,D-10407,Berlin,Medizin,62,https://neomento.de/,https://www.linkedin.com/company/neomento-vr-therapie/,,,,0
4890,PatentMaker Software GmbH,HRB 257530,2020-07-03,A,München,Heilmannstraße 7 a,D-81479,München,Rechtsberatung,62,https://www.sympatent.com,,,,,0
4891,Pendulum Wearable UG (haftungsbeschränkt),HRB 218745 B,2020-07-03,A,Charlottenburg (Berlin),Marzahner Chaussee 10,D-10315,Berlin,Medizin,62,http://pendulumwearable.com/,,,,,0
4892,axxelera UG (haftungsbeschränkt),HRB 736891,2020-07-02,A,Mannheim,Karl-Flößer-Straße 14,D-76189,Karlsruhe,Medizin,72,https://axxelera.com/,https://www.linkedin.com/company/axxelera/,,,,0
4893,CasuisTec GmbH,HRB 90256,2020-07-02,A,Düsseldorf,Viersener Straße 11,D-40549,Düsseldorf,Software,62,https://echoios.com,,,,,0
4894,Conzia GmbH,HRB 218701 B,2020-07-02,A,Charlottenburg (Berlin),"c/o Factory Works GmbH, Rheinsberger Straße 76/77",D-10115,Berlin,Software,62,https://conzia.com/,https://www.linkedin.com/company/superconverse/,,,,0
4895,Equipleon GmbH,HRB 257481,2020-07-02,A,München,Schubertstraße 2,D-80336,München,Sport,77,https://equipleon.de/,,,,,0
4896,MR Prepare GmbH,HRB 218729 B,2020-07-02,A,Charlottenburg (Berlin),"c/o Partsch & Partner Rechtsanwälte, Kurfürstendamm 50",D-10707,Berlin,Medizin,62,https://mr-prepare.com,https://www.linkedin.com/company/averix-ai/,,,,0
4897,MV Sales Solutions GmbH,HRB 163395,2020-07-02,A,Hamburg,Hagenower Straße 73,D-19061,Schwerin,Software,62,https://www.mvshop.online/,,,,,0
4898,purpozed GmbH,HRB 163387,2020-07-02,A,Hamburg,Ottersbekallee 16,D-20255,Hamburg,Software,62,http://purpozed.de/,,,,,0
4899,Soulside GmbH,HRB 218698 B,2020-07-02,A,Charlottenburg (Berlin),Auguststraße 28,D-10117,Berlin,Software,62,https://www.soulside.app,,,,,0
4900,Von Georgia Desserts UG (haftungsbeschränkt),HRB 218704 B,2020-07-02,A,Charlottenburg (Berlin),"c/o Georgia Schneider, Simon-Dach-Straße 10",D-10245,Berlin,Lebensmittel,10,https://www.vongeorgia.de/,,,,,0
4901,Banxware GmbH,HRB 218697 B,2020-07-01,A,Charlottenburg (Berlin),Reinhardtstraße 47,D-10117,Berlin,Finanzbereich,62,https://www.banxware.com/,https://www.linkedin.com/company/banxware/,,,,0
4902,BlueSc.ai GmbH,HRB 163350,2020-07-01,A,Hamburg,Stenzelring 19,D-21107,Hamburg,Industrie,62,http://www.bluesc.ai/,,,,,0
4903,CapCo Bio GmbH,HRB 722110,2020-07-01,A,Freiburg,Egonstraße 51 - 53,D-79106,Freiburg im Breisgau,Medizin,72,http://capcobio.com/,,,,,0
4904,credium GmbH,HRB 34868,2020-07-01,A,Augsburg,Katharinengasse 13,D-86150,Augsburg,Software,62,https://www.credium.de/,https://www.linkedin.com/company/crediumcompany/,,,,0
4905,Cupio GmbH,HRB 102169,2020-07-01,A,Köln,Konrad-Adenauer-Ufer 71,D-50668,Köln,Rechtsberatung,62,https://www.cupio.ro/,,,,,0
4906,Dogorama GmbH,HRB 37619,2020-07-01,A,Leipzig,Jahnallee 19,D-04109,Leipzig,Software,62,https://dogorama.app/,https://www.linkedin.com/company/dogorama/,,,,0
4907,GP 9000 GmbH,HRB 218684 B,2020-07-01,A,Charlottenburg (Berlin),"c/o Jaroslaw Postnikov, Theodor-Loos-Weg 10",D-12353,Berlin,Gaming,62,,,,,,0
4908,Hortiya UG (haftungsbeschränkt),HRB 34719,2020-07-01,A,Duisburg,Warschauer Straße 63,D-10243,Berlin,Landwirtschaft,26,https://www.hortiya.com/,,,,,0
4909,Regiobuy UG (haftungsbeschränkt),HRB 28538,2020-07-01,A,Stendal,Wählitzer Weg 15,D-06679,Hohenmölsen,eCommerce,62,http://regiobuy.online/,,,,,0
4910,SparkView Software GmbH,HRB 163332,2020-07-01,A,Hamburg,Hohe Bleichen 8,D-20354,Hamburg,Software,62,https://www.beyondssl.com,http://sparkview.de/,,,,0
4911,Vanilla Steel GmbH,HRB 218619 B,2020-07-01,A,Charlottenburg (Berlin),Stolzingstraße 44,D-13465,Berlin,Industrie,62,http://www.vanillasteel.com/,https://www.linkedin.com/company/vanilla-steel/,,,,0
4912,audiophile FAST GmbH,HRB 119574,2020-06-30,A,Frankfurt am Main,Inselsbergstraße 9,D-65929,Frankfurt am Main,eCommerce,26,http://audiophilefast.de/,,,,,0
4913,Beautiful Drinks GmbH,HRB 218625 B,2020-06-30,A,Charlottenburg (Berlin),Linienstraße 145,D-10115,Berlin,Lebensmittel,47,https://drinkbonnie.com,,,,,0
4914,bill.less UG (haftungsbeschränkt),HRB 774397,2020-06-30,IL,Stuttgart,Altvaterstraße 3,D-71032,Böblingen,Software,62,https://billless.app/,https://www.linkedin.com/company/billless/,,,,0
4915,büsli GmbH,HRB 8045,2020-06-30,A,Wetzlar,Kröffelbacher Straße 1,D-35647,Waldsolms,Lebensmittel,10,https://buesli.de/,,,,,0
4916,Celestial Space Technologies GmbH,HRB 37759,2020-06-30,A,Nürnberg,Zollhof 7,D-90443,Nürnberg,Industrie,51,https://celestialcomm.wixsite.com/moonshot,https://www.linkedin.com/company/celestial-communication/,,,,0
4917,EcoYou GmbH,HRB 218596 B,2020-06-30,A,Charlottenburg (Berlin),Prenzlauer Allee 186,D-10405,Berlin,eCommerce,47,https://ecoyou.de/,,,,,0
4918,kvikky UG (haftungsbeschränkt),HRB 218604 B,2020-06-30,A,Charlottenburg (Berlin),"c/o Levon Ambarzumjan, Torstraße 103",D-10119,Berlin,Lebensmittel,62,https://www.kvikky.com/,https://www.linkedin.com/company/kvikky/,,,,0
4919,Memocon Conservation Center GmbH,HRB 17852,2020-06-30,A,Krefeld,Weyerhofstraße 85,D-47803,Krefeld,Hardware,62,http://familyheritage.de,,,,,0
4920,Safegrow UG (haftungsbeschränkt),HRB 28887,2020-06-30,A,Traunstein,Edelweißstraße 10,D-84478,Waldkraiburg,Versicherung,66,http://www.safegrow.de/,,,,,0
4921,Schöppche Eistee GmbH,HRB 119566,2020-06-30,A,Frankfurt am Main,Klappergasse 3,D-60594,Frankfurt am Main,Lebensmittel,11,https://schoeppche-eistee.de/,,,,,0
4922,smart AAL JK GmbH,HRB 775786,2020-06-30,A,Stuttgart,Willi-Baumeister-Weg 23,D-73760,Ostfildern,Medizin,86,https://www.smart-aal.de/,,,,,0
4923,Snapp Dance UG (haftungsbeschränkt),HRB 218613 B,2020-06-30,A,Charlottenburg (Berlin),Müggelstraße 26,D-10247,Berlin,Sport,62,https://www.snapp-dance.com/,,,,,0
4924,SNX GmbH,HRB 20095 HL,2020-06-30,A,Lübeck,Humboldtstraße 1 a,D-21465,Reinbek,Lebensmittel,10,https://bitebox.com/,,,,,0
4925,Bestform UG (haftungsbeschränkt),HRB 163294,2020-06-29,A,Hamburg,Am Stadtrand 50,D-22047,Hamburg,Lebensmittel,11,https://nbplus.app/,,,,,0
4926,BME Technik GmbH,HRB 25383,2020-06-29,A,Bonn,Alaunbachweg 19c,D-53229,Bonn,Energie,28,,,,,,0
4927,Cozero GmbH,HRB 218586 B,2020-06-29,A,Charlottenburg (Berlin),Zionskirchstraße 73a,D-10119,Berlin,Umwelttechnologie,62,https://cozero.io/,,,,,0
4928,PaySy.de GmbH,HRB 517056,2020-06-29,A,Jena,Boschstraße 12-20,D-37327,Leinefelde-Worbis,Lebensmittel,62,https://www.smeasy.de/,,,,,0
4929,Spoondrink GmbH,HRB 220067,2020-06-29,A,Hannover,Baxmannstraße 3,D-31840,Hessisch Oldendorf,Lebensmittel,11,https://spoondrink.de/,https://www.linkedin.com/company/spoondrink/,,,,0
4930,GO InvoiceOffice Software GmbH,HRB 9638,2020-06-27,A,Ingolstadt,Inge-Meysel-Straße 8 c,D-85053,Ingolstadt,Software,62,https://invoiceoffice.de/,,,,,0
4931,Deep Health GmbH,HRB 257381,2020-06-26,A,München,Eschenrieder Straße 24,D-82194,Gröbenzell,Medizin,62,https://leon-health.de/,,,,,0
4932,FarmInsect GmbH,HRB 257354,2020-06-26,A,München,Münchner Straße 10,D-85232,Bergkirchen,Landwirtschaft,28,https://farminsect.eu/,https://www.linkedin.com/company/farminsect/,,,,0
4933,Freudlos UG (haftungsbeschränkt),HRB 218462 B,2020-06-26,A,Charlottenburg (Berlin),"c/o Kathrin Dammeier, Danckelmannstraße 29",D-14059,Berlin,eCommerce,32,https://freudlos.com,,,,,0
4934,NeuraRays Al Europe Holding GmbH,HRB 257384,2020-06-26,A,München,Emil-Dittler-Straße 24,D-81479,München,Industrie,62,,,,,,0
4935,RGMT Network UG (haftungsbeschränkt),HRB 257365,2020-06-26,A,München,Zeppelinstraße 73,D-81669,München,Software,62,https://www.deviance.app/,https://www.linkedin.com/company/devianceapp/,,,,0
4936,SURFTOWN Hallbergmoos GmbH,HRB 257371,2020-06-26,A,München,Anni-Albers-Straße 11; c/o PLANWORX AG,D-80807,München,Hardware,62,https://surftown.de/,,,,,0
4937,VREEDA GmbH,HRB 31218,2020-06-26,A,Essen,Alfredstraße 81,D-45130,Essen,Immobilien,62,https://vreeda.de/,,,,,0
4938,ACCURE Battery Intelligence GmbH,HRB 23851,2020-06-25,A,Aachen,Jülicher Straße 72a,D-52070,Aachen,Energie,62,https://accure.net/,https://www.linkedin.com/company/accure-battery-intelligence/,,,,0
4939,AILY LABS GmbH,HRB 257335,2020-06-25,A,München,Kaulbachstraße 6,D-80539,München,Software,62,http://ailylabs.com/,,,,,0
4940,aixtronic GmbH,HRB 23850,2020-06-25,A,Aachen,Langweilerstraße 66,D-52477,Alsdorf,Industrie,28,,,,,,0
4941,apomap UG (haftungsbeschränkt),HRB 13356,2020-06-25,A,Arnsberg,Poststraße 12,D-59955,Winterberg,Medizin,62,https://apomap.de/,https://www.linkedin.com/company/apomap/,,,,0
4942,Cometum GmbH,HRB 257336,2020-06-25,A,München,Lärchenstraße 4,D-82166,Gräfelfing,Blockchain / Crypto,62,https://cometum.com/,https://www.linkedin.com/company/cometum/,,,,0
4943,Harpocrates Solutions GmbH,HRB 218469 B,2020-06-25,A,Charlottenburg (Berlin),"c/o Martin Förster, Garibaldistraße 40",D-13158,Berlin,Software,62,https://harpocrates-corp.com/,https://www.linkedin.com/company/harpocrates/,,,,0
4944,Horizon Business GmbH,HRB 16614,2020-06-25,A,Kleve,Eickestall 15,D-47559,Kranenburg,Werbung,62,https://www.local-coop.de,,,,,0
4945,iofactor UG (haftungsbeschränkt),HRB 30843,2020-06-25,A,Wuppertal,Ludwig-Richter-Straße 6,D-42329,Wuppertal,Software,62,,,,,,0
4946,iovent GmbH,HRB 9630,2020-06-25,A,Ingolstadt,Willibald-Frisch-Straße 4,D-86529,Schrobenhausen,Lebensmittel,62,https://www.iovent.net/,https://www.linkedin.com/company/iovent-gmbh/,,,,0
4947,Laptop LockWare UG (haftungsbeschränkt),HRB 30841,2020-06-25,A,Wuppertal,Hofstadt 7,D-40822,Mettmann,Software,62,https://laptop-lock.de/,https://www.linkedin.com/company/laptop-lockware/,,,,0
4948,Mictlan UG (haftungsbeschränkt),HRB 218439 B,2020-06-25,A,Charlottenburg (Berlin),Hohenzollerndamm 56,D-14199,Berlin,Software,62,,,,,,0
4949,Naphthax GmbH,HRB 257331,2020-06-25,A,München,Goethestraße 30,D-80336,München,Software,62,http://naphthax.com/,,,,,0
4950,Noxalib GmbH,HRB 257341,2020-06-25,A,München,Zielstattstraße 19,D-81379,München,Werbung,62,https://www.schadenhilfe.online/,,,,,0
4951,Orangery CoLiving GmbH,HRB 206869,2020-06-25,A,Hildesheim,Am Alten Wasserwerk 1,D-31135,Hildesheim,Software,62,https://www.maskedanke.de/,https://www.linkedin.com/company/maskedanke/,,,,0
4952,PLUS4DATA GmbH,HRB 32790,2020-06-25,A,Landau,Pfeifferstraße 20 A,D-76764,Rheinzabern,Software,62,https://www.plus4data.de/,https://www.linkedin.com/company/plus4data-gmbh/,,,,0
4953,Spryfox GmbH,HRB 100590,2020-06-25,A,Darmstadt,Pützerstraße 19,D-64287,Darmstadt,Dienstleistung,62,https://spryfox.de/,https://www.linkedin.com/company/spryfox/,,,,0
4954,TONI CORE GmbH,HRB 102122,2020-06-25,A,Köln,Vitalisstraße 67,D-50827,Köln,eCommerce,14,https://tonicore.com/,https://www.linkedin.com/company/tonicore/,,,,0
4955,virtivity GmbH,HRB 163229,2020-06-25,A,Hamburg,Ballindamm 39,D-20095,Hamburg,Software,62,http://virtivity.de/,,,,,0
4956,ConnectedView GmbH,HRB 30837,2020-06-24,A,Wuppertal,Cronenfelder Straße 31,D-42349,Wuppertal,eCommerce,32,https://www.connected-view.com/,https://www.linkedin.com/company/connected-view/,,,,0
4957,eHeroes GmbH,HRB 33288,2020-06-24,A,Chemnitz,August-Bebel-Straße 3,D-08412,Werdau,Bildung,85,https://eheroes.de/,,,,,0
4958,Lottie GmbH,HRB 222704 B,2020-06-24,A,Charlottenburg (Berlin),Rosenthaler Straße 37,D-10178,Berlin,Bildung,62,https://golottie.com/,https://www.linkedin.com/company/golottie/,,,,0
4959,MIMEO MEDICAL GmbH,HRB 774328,2020-06-24,A,Stuttgart,Eierwiesenstraße 30,D-70794,Filderstadt,Medizin,86,http://mimeo-medical.com/,,,,,0
4960,Normcut UG (haftungsbeschränkt),HRB 218453 B,2020-06-24,A,Charlottenburg (Berlin),"c/o MotionLab ML GmbH, Bouchéstraße 12",D-12435,Berlin,Industrie,62,http://normcut.com/,,,,,0
4961,Petermachtpause GmbH,HRB 23847,2020-06-24,A,Aachen,Jülicher Straße 176,D-52070,Aachen,Lebensmittel,47,https://petermachtpause.de/,,,,,0
4962,PropOps GmbH,HRB 774333,2020-06-24,A,Stuttgart,Monreposstraße 49,D-71634,Ludwigsburg,Immobilien,62,https://propops.com/,,,,,0
4963,Soder Drinks GmbH,HRB 119495,2020-06-24,A,Frankfurt am Main,"c/o Wülfert, Ziegelhüttenweg 27a",D-60598,Frankfurt am Main,Lebensmittel,11,https://suaro.de/,,,,,0
4964,ycon solutions GmbH,HRB 100576,2020-06-24,A,Darmstadt,Blütenallee 16,D-64291,Darmstadt,Logistik,62,https://ycon-solutions.com/,,,,,0
4965,AI Digital Solutions GmbH,HRB 257315,2020-06-23,LQ,München,Rheingoldstraße 4,D-80639,München,Mobilität,62,,,,,,0
4966,Boldly Go Beyond UG (haftungsbeschränkt),HRB 742908,2020-06-23,A,Mannheim,Julius-Hatry-Straße 1,D-68163,Mannheim,Industrie,62,https://boldlygobeyond.com/,,,,,0
4967,LIQUITORY GmbH,HRB 257307,2020-06-23,A,München,Eckehartstraße 10,D-80993,München,Finanzbereich,62,https://liquitory.com,,,,,0
4968,matics sports GmbH,HRB 13673,2020-06-23,A,Schwerin,Wasserstraße 15,D-23966,Wismar,Sport,62,https://mymatics.de/,https://www.linkedin.com/company/matics/about/,,,,0
4969,MusicHub GmbH,HRB 257296,2020-06-23,A,München,Rosenheimer Straße 11,D-81667,München,Software,62,https://www.joinmusichub.de,,,,,0
4970,PANDORA Tech GmbH,HRB 102088,2020-06-23,LQ,Köln,"c/o Dr. Simon Dürr, Brüsseler Straße 82",D-50672,Köln,Rechtsberatung,62,https://pand0ra.tech/,,,,,0
4971,Reiseritter GmbH,HRB 106512,2020-06-23,A,Saarbrücken,Rathausstraße 19,D-66125,Saarbrücken,Rechtsberatung,69,http://reiseritter.de/,,,,,0
4972,Say Thank You GmbH,HRB 218388 B,2020-06-23,A,Charlottenburg (Berlin),Köpenicker Chaussee 3a,D-10317,Berlin,Finanzbereich,62,https://pay.tiptab.com/,,,,,0
4973,Sinabis Analytics GmbH,HRB 10521,2020-06-23,A,Königstein,Auf der Krautweide 24,D-65812,Bad Soden am Taunus,Software,62,https://www.sinabis-analytics.com/,https://www.linkedin.com/company/sinabis-analytics-gmbh/,,,,0
