name_x;name_y;CoInvestments
24S.ar.l.;ALSP20 L.L.C.;1
24S.ar.l.;Bruce Wallace;1
24S.ar.l.;Calm Storm 1 EuVECA GmbH & Co. KG;1
24S.ar.l.;Cristobal Conde;1
24S.ar.l.;Dr. Axel Wieandt;1
24S.ar.l.;ENTREPRENEUR FIRST (GLOBAL) L.P.;1
24S.ar.l.;Entrepreneur First Operations Limited;1
24S.ar.l.;Esprit Nominees Limited;1
24S.ar.l.;Fin VC Regatta I, LP;1
24S.ar.l.;Founders First Capital GmbH;1
24S.ar.l.;Fufu Ventures UG (haftungsbeschrankt);1
24S.ar.l.;Guillaume Cabane;1
24S.ar.l.;Laurin Hainy;1
24S.ar.l.;Luca Ascani;1
24S.ar.l.;MJJ Invest GmbH;1
24S.ar.l.;Mark Ransford;1
24S.ar.l.;New Wave SASU;1
24S.ar.l.;PCN Ventures UG (haftungsbeschrankt);1
24S.ar.l.;Philippe Teixeira da Mota;1
24S.ar.l.;RJ Expeditions GmbH;1
24S.ar.l.;Scout VI-A, LLC;1
24S.ar.l.;Speedinvest Ill EUVECA GmbH & Co KG;1
24S.ar.l.;Stevan Lutz Invest UG (haftungsbeschrankt);1
24S.ar.l.;Tiny Fund Il, a series of Tiny Supercomputer Investment Companies, LP;1
24S.ar.l.;Tiny Il, a series of Continental Tiny Supercomputer Investment Companies, LP;1
24S.ar.l.;another.vc GmbH;1
24S.ar.l.;eNugget Ventures UG (haftungsbeschrankt);1
24S.ar.l.;wrapall UG (haftungsbeschrankt);1
2bX Urban Fund I GmbH & Co. KG;AXS Investments GmbH;1
2bX Urban Fund I GmbH & Co. KG;AddReal GmbH;1
2bX Urban Fund I GmbH & Co. KG;Brokamp Capital GmbH;1
2bX Urban Fund I GmbH & Co. KG;Dasr Ventures UG (haftungsbeschränkt);1
2bX Urban Fund I GmbH & Co. KG;Heidelventure GmbH;1
2bX Urban Fund I GmbH & Co. KG;JD Invest & Advisory GmbH;1
2bX Urban Fund I GmbH & Co. KG;LionCorn Capital GmbH;1
2bX Urban Fund I GmbH & Co. KG;Manuel Backfisch Investment Stiftung;1
2bX Urban Fund I GmbH & Co. KG;Maximilian Kérner Investment UG (haftungsbeschränkt);1
2bX Urban Fund I GmbH & Co. KG;Mutschler Ventures AG;1
2bX Urban Fund I GmbH & Co. KG;RAS Invest GmbH;1
2bX Urban Fund I GmbH & Co. KG;Razouane Ventures UG (haftungsbeschränkt);1
2bX Urban Fund I GmbH & Co. KG;Stefan Loacker;1
2bX Urban Fund I GmbH & Co. KG;Szeli Ventures GmbH;1
2bX Urban Fund I GmbH & Co. KG;Thumm Ventures UG (haftungsbeschränkt);1
2bX Urban Fund I GmbH & Co. KG;Tomislav Tomov;1
2bX Urban Fund I GmbH & Co. KG;Unternehmertum VC Fonds III GmbH & Co. KG;1
2bX Urban Fund I GmbH & Co. KG;Verdurion GmbH;1
2bX Urban Fund I GmbH & Co. KG;Vesta Venture Holding GmbH;1
2bX Urban Fund I GmbH & Co. KG;Wax Venture UG (haftungsbeschränkt);1
2bX Urban Fund I GmbH & Co. KG;btov Digital Technologies II S.C.S., SICAR;1
33 cent GmbH;Astra Holding GmbH;1
33 cent GmbH;Bayern Kapital Innovationsfonds EFRE GmbH & Co. KG;1
33 cent GmbH;Christoph Hansmeyer;1
33 cent GmbH;Dr. Carsten Baumgartner;1
33 cent GmbH;H23 Invest UG (haftungsbeschrankt);1
33 cent GmbH;Jiirgen Eckel;1
33 cent GmbH;K41 GmbH;1
33 cent GmbH;KP Ventures ApS;1
33 cent GmbH;MH ASSETS GmbH;1
33 cent GmbH;Patrick Frowein;1
33 cent GmbH;S15 Invest GmbH;1
33 cent GmbH;STM Consulting GmbH;1
33 cent GmbH;Sheran Investments UG (haftungsbeschrankt);1
33 cent GmbH;TU3 Invest GmbH;1
33 cent GmbH;TX Group AG;1
33 cent GmbH;XIMA INVEST ApS;1
33 cent GmbH;cannonball invest GmbH;1
33 cent GmbH;dreifff Management GmbH;1
468 Capital GmbH & Co. KG;ABACON CAPI-TAL GmbH;1
468 Capital GmbH & Co. KG;Bad Evil Rubber AG;1
468 Capital GmbH & Co. KG;CBES Ventures UG (haftungsbeschränkt);1
468 Capital GmbH & Co. KG;Dr. Susanne Bettina Maria Weiss;1
468 Capital GmbH & Co. KG;Ducky Investments UG (haftungsbeschränkt);1
468 Capital GmbH & Co. KG;Esrae Khalawi Alolaya;1
468 Capital GmbH & Co. KG;Saxtan GmbH;1
468 Capital GmbH & Co. KG;TAL GmbH;1
468 Capital GmbH & Co. KG;TKrauss Private Equity Investments GmbH;1
468 Capital GmbH & Co. KG;Vsquared Ventures GmbH & Co. KG;1
A06 Ventures UG (haftungsbeschrankt);AENU Fund SCA SICAV-RAIF;1
A06 Ventures UG (haftungsbeschrankt);Begemann Capital GmbH;1
A06 Ventures UG (haftungsbeschrankt);Benjamin Drury;1
