startup_id;startup_name;date_incorporated;register_identification_number;register;startup_location;startup_industry;startup_website;startup_linkedin;Unnamed: 9;Unnamed: 10;shareholder_json;list_mds;number_shareholders;number_angels;startup_purpose;link_shareholder_file_2021;register_mapping;startup_industry_mapped;azure_json;error;link_structured_content_file_current;link_SI_file_current;azure_json_2021;shareholder_json_2021
14133;NFT Games Analytics UG (haftungsbeschränkt);2021-12-22;HRB 236942 B;Charlottenburg (Berlin);Berlin;Blockchain / Crypto;;;63.0;;;;;;;;;;;;;;;
14134;SetActive Media UG (haftungsbeschränkt);2021-12-22;HRB 23837 KI;Kiel;Lebrade;Medien;https://preffect.de/;https://www.linkedin.com/company/preffect/;68.0;;;;;;;;;;;;;;;
14135;Workspacify UG (haftungsbeschränkt);2021-12-22;HRB 236990 B;Charlottenburg (Berlin);Berlin;eCommerce;https://www.workspacify.com/;;74.0;;;;;;;;;;;;;;;
14136;Auf Augenhöhe UG (haftungsbeschränkt);2021-12-21;HRB 236916 B;Charlottenburg (Berlin);Berlin;eCommerce;https://www.aufaugenhoehe.design/;;76.0;;;;;;;;;;;;;;;
14137;Future Frames UG (haftungsbeschränkt);2021-12-21;HRB 102851;Darmstadt;Darmstadt;Hardware;https://nftframes.de/;https://www.linkedin.com/company/future-frames/;79.0;;;;;;;;;;;;;;;
14138;bitsurance UG (haftungsbeschränkt);2021-12-20;HRB 207867;Hildesheim;Hildesheim;Versicherung;;;83.0;;;;;;;;;;;;;;;
14139;Orbiture UG (haftungsbeschränkt);2021-12-20;HRB 108714;Köln;Köln;Umwelttechnologie;;https://www.linkedin.com/company/orbiture/;85.0;;;;;;;;;;;;;;;
14140;PolyPirates UG (haftungsbeschränkt);2021-12-20;HRB 95868;Düsseldorf;Düsseldorf;Gaming;https://polypirates.com/;;87.0;;;;;;;;;;;;;;;
14141;Ragnar UG (haftungsbeschränkt);2021-12-20;HRB 743407;Ulm;Ulm;eCommerce;;;88.0;;;;;;;;;;;;;;;
14142;CapiWise UG (haftungsbeschränkt);2021-12-17;HRB 236741 B;Charlottenburg (Berlin);Berlin;Finanzbereich;http://www.capiwise.com/;;98.0;;;;;;;;;;;;;;;
14143;Kcrypt Lab UG (haftungsbeschränkt);2021-12-17;HRB 236758 B;Charlottenburg (Berlin);Berlin;Software;;;101.0;;;;;;;;;;;;;;;
14144;Lidyne UG (haftungsbeschränkt);2021-12-17;HRB 782443;Stuttgart;Reutlingen;Hardware;https://lidyne.com/;;102.0;;;;;;;;;;;;;;;
14145;McHeadhunter UG (haftungsbeschränkt);2021-12-17;HRB 33576;Dortmund;Schwerte;Personal;https://www.mcheadhunter.com/;https://www.linkedin.com/company/mcheadhunter/;105.0;;;;;;;;;;;;;;;
14146;Oogtech AI UG (haftungsbeschränkt);2021-12-17;HRB 102836;Darmstadt;Darmstadt;Medizin;https://www.oogtech-ai.de/;;107.0;;;;;;;;;;;;;;;
14147;PRCS App UG (haftungsbeschränkt);2021-12-17;HRB 236762 B;Charlottenburg (Berlin);Berlin;Finanzbereich;https://prcsapp.com/;;108.0;;;;;;;;;;;;;;;
14148;RotHuf UG (haftungsbeschränkt);2021-12-17;HRB 30726;Stendal;Calvörde;Sport;http://rothuf.com/;;110.0;;;;;;;;;;;;;;;
14149;SNACKED! UG (haftungsbeschränkt);2021-12-17;HRB 19920;Münster;Münster;Software;;;112.0;;;;;;;;;;;;;;;
14150;Wide Thinker UG (haftungsbeschränkt);2021-12-17;HRB 125781;Frankfurt am Main;Frankfurt am Main;Bildung;;;115.0;;;;;;;;;;;;;;;
14151;Clevercreek UG (haftungsbeschränkt);2021-12-16;HRB 7711;Ansbach;Lichtenau;Sport;http://clevercreek.de/;;116.0;;;;;;;;;;;;;;;
14152;Green IN Beauty UG (haftungsbeschränkt);2021-12-16;HRB 36910;Augsburg;Landsberg am Lech;eCommerce;http://greeninbeauty.de/;;118.0;;;;;;;;;;;;;;;
14153;haperepa UG (haftungsbeschränkt);2021-12-16;HRB 11615;Passau;Passau;Software;;;119.0;;;;;;;;;;;;;;;
14154;Mostly Games UG (haftungsbeschränkt);2021-12-16;HRB 236632 B;Charlottenburg (Berlin);Berlin;Gaming;;;125.0;;;;;;;;;;;;;;;
14155;Pharma-Care Deutschland PCD UG (haftungsbeschränkt);2021-12-16;HRB 172725;Hamburg;Hamburg;Medizin;https://skillme.de/pharmacare/;;126.0;;;;;;;;;;;;;;;
14156;Synctive UG (haftungsbeschränkt);2021-12-16;HRB 44618;Bielefeld;Bielefeld;Industrie;https://synctive.de/;https://www.linkedin.com/company/synctive/;128.0;;;;;;;;;;;;;;;
14157;MakeStoryboard UG (haftungsbeschränkt);2021-12-15;HRB 271734;München;München;Medien;https://makestoryboard.com/;;135.0;;;;;;;;;;;;;;;
14158;MoneyWalk UG (haftungsbeschränkt);2021-12-15;HRB 236711 B;Charlottenburg (Berlin);Berlin;Sport;;;136.0;;;;;;;;;;;;;;;
14159;OpenQ UG (haftungsbeschränkt);2021-12-15;HRB 236736 B;Charlottenburg (Berlin);Berlin;Personal;https://openq.dev/;https://www.linkedin.com/company/openqdev;137.0;;;;;;;;;;;;;;;
14160;Together Living UG (haftungsbeschränkt);2021-12-15;HRB 33569;Dortmund;Dortmund;Immobilien;http://together-living.de/;https://www.linkedin.com/company/together-living/;144.0;;;;;;;;;;;;;;;
14161;ZenOps Technologies UG (haftungsbeschränkt);2021-12-15;HRB 236794 B;Charlottenburg (Berlin);Berlin;Software;;;148.0;;;;;;;;;;;;;;;
14162;BestCarAuction UG (haftungsbeschränkt);2021-12-14;HRB 725558;Freiburg;Sölden;Mobilität;https://bestcarauction.de/;;152.0;;;;;;;;;;;;;;;
14163;Inquis Intelligence UG (haftungsbeschränkt);2021-12-13;HRB 95792;Düsseldorf;Düsseldorf;Finanzbereich;https://inquis-intelligence.de/;;159.0;;;;;;;;;;;;;;;
14164;Rent and Play UG (haftungsbeschränkt);2021-12-13;HRB 209651;Braunschweig;Danndorf;Gaming;https://rentandplay.de/;;162.0;;;;;;;;;;;;;;;
14165;S.K. Ink UG (haftungsbeschränkt);2021-12-13;HRB 23785 KI;Kiel;Boksee;eCommerce;;;163.0;;;;;;;;;;;;;;;
14166;eyes.games UG (haftungsbeschränkt);2021-12-11;HRB 30475;Traunstein;Bad Aibling;Gaming;;;167.0;;;;;;;;;;;;;;;
14167;Daato Technologies UG (haftungsbeschränkt);2021-12-10;HRB 236555 B;Charlottenburg (Berlin);Berlin;Umwelttechnologie;;;169.0;;;;;;;;;;;;;;;
14168;Frootec UG (haftungsbeschränkt);2021-12-10;HRB 271588;München;München;Lebensmittel;;;170.0;;;;;;;;;;;;;;;
14169;signature technologies UG (haftungsbeschränkt);2021-12-10;HRB 95774;Düsseldorf;Düsseldorf;Bildung;https://signatureapp.io/;;172.0;;;;;;;;;;;;;;;
14170;MatchU UG (haftungsbeschränkt);2021-12-09;HRB 15529;Paderborn;Paderborn;Personal;https://match-u.de/;https://www.linkedin.com/company/matchu/;182.0;;;;;;;;;;;;;;;
