startup_location;count
Eisenach;1
Schwielowsee OT Caputh;1
Stegen;1
Dinslaken;1
Sassenberg;1
Sulzbach an der Murr;1
Kelsterbach;1
Uhingen;1
Lutherstadt Wittenberg OT Straach;1
Wilnsdorf;1
Osterhever;1
Tapfheim;1
Heide;1
Wald-Michelbach;1
Rinteln;1
Tiefenbronn;1
Bordersby OT Schönhagen;1
Neresheim;1
Burgstetten;1
Nuthe-Urstromtal;1
Hattersheim am Main;1
Mainleus;1
Tirschenreuth;1
Reilingen;1
Senftenberg OT Peickwitz;1
Hebertshausen;1
Itzehoe;1
Blankenheim;1
Durbach;1
Schöneiche bei Berlin;1
Hochspeyer;1
Schorndorf;1
Weingarten;1
Volxheim;1
Neu Wulmstorf;1
Birkenfeld;1
Delbrück;1
Wittstock/Dosse;1
Schechen;1
Calw;1
Allendorf (Eder);1
Löningen;1
Gattendorf;1
Gundelfingen;1
Ebringen;1
Lübbecke;1
Kirchlengern;1
Neckarsulm;1
Bischofsheim;1
Garrel;1
Waltrop;1
Königs Wusterhausen;1
Düssseldorf;1
Wernau Neckar;1
Oestrich-Winkel;1
Grünhain-Beierfeld OT Beierfeld;1
Kappeln;1
Gunzenhausen;1
Mechow;1
Velburg;1
Duderstadt;1
Lehrte;1
Cölbe;1
Sehestedt;1
Icking;1
Neuhausen;1
Ottenhöfen im Schwarzwald;1
Parsberg / OPf;1
Nieder-Olm;1
Grevenbroich;1
Rastede;1
Langstedt;1
Runkel-Dehrn;1
Heddesheim;1
Bibertal;1
Donauwörth;1
Brachttal;1
Bad Berneck;1
Großkarolinenfeld;1
Buckow (Märkische Schweiz);1
Bad Tennstedt;1
Groß Schwülper;1
Parthenstein;1
Immenhausen;1
Nidderau;1
Alsheim;1
Havixbeck;1
Velten;1
Glienicke /Nordbahn;1
Bitterfeld-Wolfen;1
Altshausen;1
Thür;1
Bodenwöhr;1
Schliersee;1
Penzing;1
Rosengarten;1
Pressath;1
Laboe;1
Großrinderfeld;1
Otter;1
Groß Lindow;1
Langenargen;1
Neumarkt i.d.OPf;1
Rhens;1
Nienburg (Weser);1
Pfaffenhofen an der Ilm;1
Oberhausen-Rheinhausen;1
Marsberg;1
Östringen;1
Elmenhorst;1
Hessisch Lichtenau;1
Vaterstetten;1
St. Ingbert;1
Hünfelden;1
Röthenbach a.d.Pegnitz;1
Wassenberg;1
Heiden;1
Hatten;1
Rheda-Wiedenbrück;1
Elbtal-Hangenmeilingen;1
Schwedt/Oder;1
Lichtentanne;1
Hohenstein-Ernstthal;1
Hankensbüttel;1
Maselheim;1
Mühlenfließ;1
Amelinghausen;1
Wachtendonk;1
Röthlein;1
Neunburg vorm Wald;1
Bargteheide;1
