Angel's_Eye_GmbH_&_Co._KG;Angel's_Eye_GmbH_&_Co._KG;yes;;;
another.vc_GmbH;another.vc_GmbH;yes;;;
ANP_Investments_UG_AG_Charlottenbur_KG_HRB_60257_B;ANP_Investments_UG_AG_Charlottenbur_KG_HRB_60257_B;yes;;;
Anselm_Bauer_Invest_GmbH;Anselm_Bauer_Invest_GmbH;yes;;;
Ansgar_Kosakowski;Ansgar_Kosakowski;yes;;;
Anthonie_Jan_Kosten;Anthonie_Jan_Kosten;yes;;;
Antoine_Pallois;Antoine_Pallois;yes;;;
Antonio_Mesquida_Kiisters;Antonio_Mesquida_Kiisters;yes;;;
AOS_Vermégensverwaltungs_GmbH;AOS_Vermégensverwaltungs_GmbH;yes;;;
Aperitus_Limited;Aperitus_Limited;yes;;;
AQUATY_Ventures_Deutschland_GmbH;AQUATY_Ventures_Deutschland_GmbH;yes;;;
Arconsis_IT-Solutions_GmbH;Arconsis_IT-Solutions_GmbH;yes;;;
Ardhya_UG_(haftungsbeschrankt);Ardhya_UG_(haftungsbeschrankt);yes;;;
ARES_CAPITAL_ADVISERS_GmbH;ARES_CAPITAL_ADVISERS_GmbH;yes;;;
argo_Barneys_Fund_II_GmbH_&_Co._KG;argo_Barneys_Fund_II_GmbH_&_Co._KG;yes;;;
Armin_Lustig;Armin_Lustig;yes;;;
Arno_Zinke;Arno_Zinke;yes;;;
Arthur_Gerigk;Arthur_Gerigk;yes;;;
Arthur_Steinmetz_Beteiligungs-GmbH;Arthur_Steinmetz_Beteiligungs-GmbH;yes;;;
Artur_Koop;Artur_Koop;yes;;;
Artur_Pudelko;Artur_Pudelko;yes;;;
ARU_Group_GmbH;ARU_Group_GmbH;yes;;;
Ascenion_GmbH_Miinchen_AG_Miinchen;Ascenion_GmbH_Miinchen_AG_Miinchen;yes;;;
Astanor_Ventures_II_SCSp;Astanor_Ventures_II_SCSp;yes;;;
astavo_GmbH;astavo_GmbH;yes;;;
Astra_Holding_GmbH;Astra_Holding_GmbH;yes;;;
Atlantic_Food_Labs_Fund_GmbH_&_Co._KG;Atlantic_Food_Labs_Fund_GmbH_&_Co._KG;yes;;;
Atlantic_Food_Labs_Fund_I_GmbH_&_Co._KG;Atlantic_Food_Labs_Fund_I_GmbH_&_Co._KG;yes;;;
Atlantic_Food_Labs_Fund!_GmbH_&_Co._KG;Atlantic_Food_Labs_Fund!_GmbH_&_Co._KG;yes;;;
Atlantic_Food_Labs_Vintage_GmbH_&_Co._KG;Atlantic_Food_Labs_Vintage_GmbH_&_Co._KG;yes;;;
Atlantic_Food_Labs_Vintage_I_GmbH_&_Co._KG;Atlantic_Food_Labs_Vintage_I_GmbH_&_Co._KG;yes;;;
Atlantic_Labs_V_GmbH_&_Co._KG;Atlantic_Labs_V_GmbH_&_Co._KG;yes;;;
Atomico_Affiliates_Angel_Programme_LLC;Atomico_Affiliates_Angel_Programme_LLC;yes;;;
Auenland_Ventures_UG_(haftungsbeschrankt);Auenland_Ventures_UG_(haftungsbeschrankt);yes;;;
AURA_SAS;AURA_SAS;yes;;;
Aurelio_GmbH;Aurelio_GmbH;yes;;;
Aurum_Impact_Invest_GmbH;Aurum_Impact_Invest_GmbH;yes;;;
Avantgarde_Labs_Ventures_GmbH;Avantgarde_Labs_Ventures_GmbH;yes;;;
Aviad_Eyal;Aviad_Eyal;yes;;;
Avik_Holdings_UG_(haftungsbeschrankt);Avik_Holdings_UG_(haftungsbeschrankt);yes;;;
Axel_Springer_Plug_and_Play_Charlottenburg_Berlin;Axel_Springer_Plug_and_Play_Charlottenburg_Berlin;yes;;;
Axel_Springer_Porsche_AG_GmbH_&_Co._KG;Axel_Springer_Porsche_AG_GmbH_&_Co._KG;yes;;;
Axeleo_Proptech_1_FPCI_Investment-CAPITAL_SAS;Axeleo_Proptech_1_FPCI_Investment-CAPITAL_SAS;yes;;;
axion_Holding_GmbH;axion_Holding_GmbH;yes;;;
AXS_Investments_GmbH;AXS_Investments_GmbH;yes;;;
Azur_Venture_Capital_GmbH;Azur_Venture_Capital_GmbH;yes;;;
B-CT_Services_GmbH;B-CT_Services_GmbH;yes;;;
BackBone_Ventures_AG;BackBone_Ventures_AG;yes;;;
Backed_2_LP;Backed_2_LP;yes;;;
Bad_Evil_Rubber_AG;Bad_Evil_Rubber_AG;yes;;;
Baillie_Gifford_European_Growth_Trust_ple;Baillie_Gifford_European_Growth_Trust_ple;yes;;;
Barbaros_Serdar_Ozbugutu;Barbaros_Serdar_Ozbugutu;yes;;;
BASHE_Invest_UG_(haftungsbeschrankt);BASHE_Invest_UG_(haftungsbeschrankt);yes;;;
Bassam_Kharashfeh;Bassam_Kharashfeh;yes;;;
Bastian_Fisser;Bastian_Fisser;yes;;;
Bayern_Kapital_Innovationsfonds_EFRE_GmbH_&_Co._KG;Bayern_Kapital_Innovationsfonds_EFRE_GmbH_&_Co._KG;yes;;;
BCF_Weboptions_Vermégensverwaltung_GmbH;BCF_Weboptions_Vermégensverwaltung_GmbH;yes;;;
BDX_Holding_SEM_GmbH;BDX_Holding_SEM_GmbH;yes;;;
Beam_GmbH;Beam_GmbH;yes;;;
Beckort_Ventures_UG_(haftungsbeschrankt);Beckort_Ventures_UG_(haftungsbeschrankt);yes;;;
BEENDORF_GmbH_&_Co_KG_AG_Hannover;BEENDORF_GmbH_&_Co_KG_AG_Hannover;yes;;;
Begemann_Capital_GmbH;Begemann_Capital_GmbH;yes;;;
Belcarra_GmbH;Belcarra_GmbH;yes;;;
Below_One_Fund!_GmbH_&_Co._KG;Below_One_Fund!_GmbH_&_Co._KG;yes;;;
Benedikt_Schneider_Ventures_UG;Benedikt_Schneider_Ventures_UG;yes;;;
Benjamin_Drury;Benjamin_Drury;yes;;;
Benjamin_Giinther_Invest_GmbH;Benjamin_Giinther_Invest_GmbH;yes;;;
Benjamin_Gunther_Invest_GmbH;Benjamin_Gunther_Invest_GmbH;yes;;;
Benjamin_Krupop;Benjamin_Krupop;yes;;;
Bento_Ventures_GmbH_AG;Bento_Ventures_GmbH_AG;yes;;;
Benu_Ventures_GmbH;Benu_Ventures_GmbH;yes;;;
Benvision_UG_(haftungsbeschrankt);Benvision_UG_(haftungsbeschrankt);yes;;;
Bernhard_Michael_Sebastian_Kraska;Bernhard_Michael_Sebastian_Kraska;yes;;;
Bertold_Mathias_Wagner;Bertold_Mathias_Wagner;yes;;;
Beteiligungs_UG_&_Co._KG;Beteiligungs_UG_&_Co._KG;yes;;;
Bettina_Fischer_Ventures_UG_(haftungsbeschrankt);Bettina_Fischer_Ventures_UG_(haftungsbeschrankt);yes;;;
Bielau,_Stefan;Bielau,_Stefan;yes;;;
BigCityLabs_UG_(haftungsbeschrankt);BigCityLabs_UG_(haftungsbeschrankt);yes;;;
Bischof,_Thomas;Bischof,_Thomas;yes;;;
Black_Solitaire_Ventures_GmbH;Black_Solitaire_Ventures_GmbH;yes;;;
Blackbird_Internet_UG_(haftungsbeschrankt);Blackbird_Internet_UG_(haftungsbeschrankt);yes;;;
BleM56_S.C.1.;BleM56_S.C.1.;yes;;;
Bloomfield_Hills_Ventures_UG;Bloomfield_Hills_Ventures_UG;yes;;;
Blue_Impact_Ventures_UG;Blue_Impact_Ventures_UG;yes;;;
Blue_Impact_Ventures_UG_(haftungsbeschrankt);Blue_Impact_Ventures_UG_(haftungsbeschrankt);yes;;;
Blue_Unicorn_Ventures_GmbH;Blue_Unicorn_Ventures_GmbH;yes;;;
BMKurz_UG_(haftungsbeschrankt);BMKurz_UG_(haftungsbeschrankt);yes;;;
Bodenbach_Ventures_UG_(haftungsbeschrankt);Bodenbach_Ventures_UG_(haftungsbeschrankt);yes;;;
Bodo_Uebber;Bodo_Uebber;yes;;;
Boehringer_Ingelheim_Venture_Fund_GmbH;Boehringer_Ingelheim_Venture_Fund_GmbH;yes;;;
Boesch_Ventures_UG_(haftungsbeschrankt);Boesch_Ventures_UG_(haftungsbeschrankt);yes;;;
Bolando_UG_(haftungsbeschrankt);Bolando_UG_(haftungsbeschrankt);yes;;;
BONDO_Holding_GmbH;BONDO_Holding_GmbH;yes;;;
BonVenture_IV_GmbH_&_Co._KG;BonVenture_IV_GmbH_&_Co._KG;yes;;;
Booom_Capital_GmbH;Booom_Capital_GmbH;yes;;;
Booom_Growth_GmbH_&_Co._KG;Booom_Growth_GmbH_&_Co._KG;yes;;;
Boston_Venture_GmbH;Boston_Venture_GmbH;yes;;;
Braden_Ventures_UG_(haftungsbeschrankt);Braden_Ventures_UG_(haftungsbeschrankt);yes;;;
BRAINAMICS_GmbH;BRAINAMICS_GmbH;yes;;;
Bramlage_Lifesciences_GmbH;Bramlage_Lifesciences_GmbH;yes;;;
Brencon_GmbH;Brencon_GmbH;yes;;;
Brokamp_Capital_GmbH;Brokamp_Capital_GmbH;yes;;;
Brook_Alan_Bow;Brook_Alan_Bow;yes;;;
Brosch_Ventures_UG_(haftungsbeschrankt);Brosch_Ventures_UG_(haftungsbeschrankt);yes;;;
Bruce_Wallace;Bruce_Wallace;yes;;;
Bruno_Maisonnier;Bruno_Maisonnier;yes;;;
BSWGE_Investment_UG_(haftungsbeschränkt);BSWGE_Investment_UG_(haftungsbeschränkt);yes;;;
btov_Digital_Technologies_II_S.C.S.,_SICAR;btov_Digital_Technologies_II_S.C.S.,_SICAR;yes;;;
