startup_location;count;mapped_location
Grasbrunn;4;Munich
Fellbach;4;Stuttgart
Eberswalde;4;Berlin
Weimar;4;other
Leutenbach;3;other
Zirndorf;3;other
Plauen;3;other
Dossenheim;3;other
Kelkheim (Taunus);3;Frankfurt
Würselen;3;Cologne
Blankenfelde-Mahlow;3;Berlin
Unna;3;other
Straelen;3;Cologne
Ravensburg;3;other
Haan;3;Cologne
Bruckmühl;3;Munich
Landau in der Pfalz;3;Mannheim
Moers;3;Cologne
Neunkirchen;3;other
Emsdetten;3;other
Wittlich;3;other
Reinbek;3;Hamburg
Langen (Hessen);3;Frankfurt
Siegsdorf;3;other
Heppenheim;3;Frankfurt
Raubling;3;Munich
Erftstadt;3;Cologne
Brilon;3;other
Bad Rappenau;3;Stuttgart
Stephanskirchen;3;Munich
Buchholz in der Nordheide;3;Hamburg
Pirna;3;other
Walsrode;3;other
Unterschleißheim;3;Munich
Dietzenbach;3;Frankfurt
Weinheim;3;Frankfurt
Gummersbach;3;Cologne
Passau;3;other
Lingen (Ems);3;other
Schwäbisch Hall;3;Stuttgart
Velbert;3;Cologne
Hainburg;3;other
Eggenstein-Leopoldshafen;3;Stuttgart
Schriesheim;3;Frankfurt
Rodgau;3;Frankfurt
Oberursel (Taunus);3;Frankfurt
Ottobrunn;3;Munich
Wermelskirchen;3;Cologne
Gelnhausen;3;Frankfurt
Ganderkesee;3;other
Mainz-Kastel;3;Frankfurt
Balingen;3;Stuttgart
Olpe;3;Cologne
Waghäusel;3;Stuttgart
Ludwigsfelde;3;Berlin
Crailsheim;3;Stuttgart
Denkendorf;3;Stuttgart
Schloß Holte-Stukenbrock;3;other
Rüsselsheim;3;Frankfurt
Neustadt an der Weinstraße;3;Mannheim
Ingelheim am Rhein;3;Frankfurt
Bad Kreuznach;3;Frankfurt
Bremerhaven;3;other
Tutzing;3;Munich
Gauting;3;Munich
Vreden;3;other
Wolfenbüttel;3;other
Wismar;3;other
Valley;3;other
Dorsten;3;other
Schwandorf;3;other
Rheine;3;other
Neufahrn b.Freising;3;Munich
Sandhausen;3;Stuttgart
Waldkirchen;3;other
Ehingen Donau;3;Stuttgart
Buxtehude;3;Hamburg
Korschenbroich;3;Cologne
Herzogenaurach;3;other
Brandenburg an der Havel;3;Berlin
Ibbenbüren;3;other
Hohenbrunn;3;Munich
Kriftel;3;Frankfurt
Zwickau;3;Leipzig
Albstadt;3;Stuttgart
Burghausen;3;other
Göppingen;3;Stuttgart
Gera;3;Leipzig
Neustadt;3;other
Weinsberg;3;Stuttgart
Rastatt;3;Stuttgart
Schmallenberg;3;other
Bad Salzuflen;3;other
Geretsried;3;Munich
Friedberg;3;Frankfurt
Butzbach;3;Frankfurt
Kabelsketal OT Dölbau;3;other
Bad Tölz;3;Munich
Bad Hersfeld;3;other
Landshut;3;Munich
Pfinztal;3;Stuttgart
Friedrichsdorf;3;Frankfurt
Sendenhorst;3;other
Büren;3;other
Overath;3;Cologne
Neuenburg am Rhein;3;other
Gmund a.Tegernsee;3;Munich
Ammerbuch;3;Stuttgart
Pfungstadt;3;Frankfurt
Bernau bei Berlin;2;Berlin
Bernau a.Chiemsee;2;Munich
Espelkamp;2;other
Hanau;2;Frankfurt
Limbach-Oberfrohna;2;Leipzig
Gronau;2;other
Karlsbad;2;Stuttgart
Wegberg;2;Cologne
Bruchköbel;2;Frankfurt
Denzlingen;2;other
Simmelsdorf;2;other
Gladbeck;2;Cologne
Mörfelden-Walldorf;2;Frankfurt
Gerlingen;2;Stuttgart
Issum;2;Cologne
Soest;2;other
Mainhausen;2;Frankfurt
Wesseling;2;Cologne
Kuppenheim;2;Stuttgart
Erding;2;Munich
Backnang;2;Stuttgart
Bad Oeynhausen;2;other
Kitzingen;2;other
Wülfrath;2;Cologne
Heuchelheim;2;Frankfurt
Grafing b.München;2;Munich
Jülich;2;Cologne
Jesteburg;2;Hamburg
Saarburg;2;other
Werder (Havel);2;Berlin
Baesweiler;2;Cologne
Penzberg;2;Munich
Eberbach;2;other
Haibach;2;Frankfurt
Überherrn;2;other
Seelze;2;other
Rutesheim;2;Stuttgart
Menden;2;other
Pinneberg;2;Hamburg
Holzgerlingen;2;Stuttgart
Achim;2;other
Lünen;2;other
Haldensleben;2;other
Eching;2;Munich
Marloffstein;2;other
Ammersbek;2;Hamburg
Bad Abbach;2;other
Bad Blankenburg;2;other
Neukirchen/Erzgeb;2;Leipzig
Flintbek;2;Hamburg
Bickenbach;2;other
Waldbronn;2;Stuttgart
Lörrach;2;other
Schwetzingen;2;Mannheim
Höchstadt a.d.Aisch;2;other
Aschheim;2;Munich
Visselhövede;2;Hamburg
Bad Münstereifel;2;Cologne
Klein-Winternheim;2;Frankfurt
Frickenhausen;2;Stuttgart
Garmisch-Partenkirchen;2;other
Mühlhausen;2;other
Furtwangen im Schwarzwald;2;other
Kamp-Lintfort;2;Cologne
Freigericht;2;Frankfurt
Gevelsberg;2;Cologne
Herten;2;Cologne
Glonn;2;Munich
Rain;2;Munich
Emden;2;other
Stutensee;2;Stuttgart
Gescher;2;other
Schmalkalden;2;other
Gaimersheim;2;Munich
Glienicke/Nordbahn;2;Berlin
Wangen im Allgäu;2;other
Vechta;2;other
Nahe;2;Hamburg
Ochtendung;2;Cologne
Schwaig b. Nürnberg;2;other
Ahlen;2;other
Lindau (Bodensee);2;other
Dielheim;2;Stuttgart
Schwarzenbruck;2;other
Mettenheim;2;Frankfurt
Verl;2;other
Hambrücken;2;Stuttgart
Ehningen;2;Stuttgart
Speyer;2;Mannheim
Lahr;2;other
Eschwege;2;other
Kenzingen;2;other
Aurich;2;other
Lichtenau;2;other
Zorneding;2;Munich
Kümmersbruck;2;other
Büsum;2;other
Markkleeberg;2;Leipzig
Lich;2;Frankfurt
Bovenden;2;other
Höhenkirchen-Siegertsbrunn;2;Munich
Kranenburg;2;other
Schönwalde-Glien;2;Berlin
Rottendorf;2;other
Korntal-Münchingen;2;Stuttgart
Garching;2;Munich
Wettenberg;2;Frankfurt
Pliezhausen;2;Stuttgart
Rellingen;2;Hamburg
Biberach an der Riß;2;other
Tegernsee;2;Munich
Stockach;2;other
Marbach am Neckar;2;Stuttgart
Altdorf;2;other
Plankstadt;2;Mannheim
Bad Rothenfelde;2;other
Herne;2;Cologne
Sachsenheim;2;Stuttgart
Sulzfeld;2;other
Kiefersfelden;2;Munich
Hemmingen;2;other
Kirchheim b. München;2;Munich
Wenden;2;Cologne
Feucht;2;other
Grünstadt;2;Frankfurt
Dormagen;2;Cologne
Cuxhaven;2;Hamburg
Schlier;2;other
Friedberg (Hessen);2;Frankfurt
Salzgitter;2;other
Metzingen;2;other
Grassau;2;Munich
Lübs;2;other
Pocking;2;other
Spaichingen;2;other
Oberschleißheim;2;Munich
Kolbermoor;2;Munich
Emsbüren;2;other
Schöneck;2;other
Odenthal;2;Cologne
Bad Schönborn;2;Stuttgart
Kranzberg;2;other
Eichenau;2;Munich
Detmold;2;other
Schwarzenfeld;2;other
Bad Wiessee;2;Munich
Achstetten;2;Stuttgart
