startup_location;count;mapped_location
Bad Salzdetfurth;1;other
Bad Säckingen;1;other
Pollenfeld-Preith;1;other
Hennef;1;Cologne
Straubenhardt;1;Stuttgart
Birkenwerder;1;Berlin
Porta Westfalica;1;other
Dreieich;1;Frankfurt
Norheim;1;Frankfurt
Hemau;1;other
Herrsching a. Ammersee;1;Munich
Aßling;1;other
Schermbeck;1;other
Steinheim an der Murr;1;Stuttgart
Unterwellenborn OT Birkigt;1;other
Gomaringen;1;Stuttgart
Limburgerhof;1;Frankfurt
Mücke;1;Frankfurt
Römerberg;1;Stuttgart
Markdorf;1;other
Train;1;Munich
Schkeuditz;1;Leipzig
Belm;1;other
Mülsen;1;Leipzig
Bischheim;1;other
Gädheim;1;other
Hövelhof;1;other
Burgdorf;1;other
Oering;1;Hamburg
Neuenkirchen;1;other
Dorfprozelten;1;Frankfurt
Schwarzenberg/Erzgeb;1;other
Panitz;1;Leipzig
Bad Wildbad;1;Stuttgart
Werl;1;other
Kerpen;1;Cologne
Rattenkirchen;1;Munich
Holzwickede;1;Cologne
Argenbühl;1;other
Bad Schwartau;1;Hamburg
Schönebeck (Elbe);1;other
Röttenbach;1;other
Herdecke;1;Cologne
Rott a.Inn;1;Munich
Schenefeld;1;Hamburg
Saarwellingen;1;other
Marl;1;other
Lahntal;1;other
Lorsch;1;Frankfurt
Mayen;1;Cologne
Buchholz i.d.N;1;Hamburg
Dohren;1;other
Wittenburg;1;Hamburg
Kehl;1;other
Pirna OT Sonnenstein;1;other
Elchesheim-Illingen;1;Stuttgart
Reinsberg OT Hirschfeld;1;other
Murnau a.Staffelsee;1;Munich
Leopoldshöhe;1;other
Geesthacht;1;Hamburg
Magdala;1;other
Ötigheim;1;Stuttgart
Finning;1;Munich
Hemhofen;1;other
Papendorf OT Niendorf;1;other
Dornstetten;1;Stuttgart
Steinbach (Taunus);1;Frankfurt
Goslar;1;other
Roßhaupten;1;other
Wüstenrot;1;Stuttgart
Mudersbach;1;Cologne
Perl-Nennig;1;other
Südliches Anhalt OT Hinsdorf;1;other
Nienwohld;1;Hamburg
Steinfeld-Mühlen;1;other
Kalchreuth;1;other
Schifferstadt;1;Mannheim
Salching;1;other
Wörrstadt;1;Frankfurt
Hornberg;1;other
Erbendorf;1;other
Lutherstadt Eisleben;1;Leipzig
Münsingen;1;other
Cleebronn;1;Stuttgart
Kayhude;1;Hamburg
Illingen;1;other
Loßburg;1;Stuttgart
Seehausen a. Staffelsee;1;Munich
Falkenstein/Harz OT Ermsleben;1;other
Eppingen;1;other
Rötgesbüttel;1;other
Bad Pyrmont;1;other
Waldkraiburg;1;Munich
Hochheim am Main;1;Frankfurt
Beimerstetten;1;Stuttgart
Anklam;1;other
Hellenthal;1;Cologne
Küsten;1;other
Ofterdingen;1;Stuttgart
Wustermark;1;Berlin
Scheden;1;other
Tellig;1;other
Wittnau;1;other
Schrobenhausen;1;Munich
Eilenburg;1;Leipzig
Großenwiehe;1;other
Warburg;1;other
Mundelsheim;1;Stuttgart
Brechen;1;Frankfurt
Pfarrkirchen;1;other
Gössitz;1;other
Neubrandenburg;1;other
Friedland;1;other
Schnaittach;1;other
Warngau;1;Munich
Altenbeken;1;other
Grafschaft-Lantershofen;1;Cologne
Ascheberg;1;Hamburg
Meddewade;1;Hamburg
Ahrensfelde;1;Berlin
Eschershausen;1;other
Baldham;1;Munich
Brunnthal;1;Munich
Lappersdorf;1;other
Wörth a.d.Donau;1;other
Osterhofen;1;other
Rohr;1;other
Ummendorf;1;other
Werdau;1;Leipzig
Niederbergkirchen;1;Munich
Wannweil;1;Stuttgart
Plüderhausen;1;Stuttgart
Kronshagen;1;other
Nieklitz;1;Hamburg
Einhausen;1;other
Geratal OT Geschwenda;1;other
Hersbruck;1;other
Grömitz;1;other
Varel;1;other
Trochtelfingen;1;Stuttgart
Töging a.Inn;1;Munich
Groß-Zimmern;1;Frankfurt
Griesheim;1;other
Damme;1;other
Thalmässing;1;other
Gommern;1;other
Nehmten;1;Hamburg
Barbing;1;other
Buchenbach;1;other
Weilheim an der Teck;1;Stuttgart
Harxheim;1;Frankfurt
Bingen;1;Frankfurt
Nersingen;1;Stuttgart
Warngau-Oberwarngau;1;Munich
Buchloe;1;Munich
Hückelhoven;1;Cologne
Zweibrücken;1;other
Gau-Odernheim;1;Frankfurt
Mittweida;1;Leipzig
Bad Neuenahr-Ahrweiler;1;Cologne
Stolzenau;1;other
Marktredwitz;1;other
Laage;1;other
Bernburg (Saale);1;Leipzig
Kremmen OT Sommerfeld;1;other
Kränzlin;1;Berlin
Schiffweiler;1;other
Weyarn;1;Munich
Steinhöring;1;Munich
Heimbach;1;other
Zschopau;1;other
Mühldorf a.Inn;1;Munich
Hausen ob Verena;1;other
Eckental;1;other
Nümbrecht;1;Cologne
Bingen am Rhein;1;Frankfurt
Leutkirch im Allgäu;1;other
Dettingen an der Erms;1;Stuttgart
Faulbach;1;Frankfurt
Mescherin;1;other
Coswig;1;Leipzig
Halver;1;Cologne
Ainring;1;other
Steinberg;1;other
Bad Homburg;1;Frankfurt
Celle;1;other
Großröhrsdorf;1;other
Egelsbach;1;Frankfurt
Fraunberg;1;Munich
Waldems;1;Frankfurt
Woltersdorf;1;Hamburg
Döbeln;1;Leipzig
Güstrow;1;other
Fischen i. Allgäu;1;other
Aichhalden;1;other
Hohen Neuendorf;1;Berlin
Brackenheim;1;Stuttgart
Wahlstedt;1;Hamburg
Ronnenberg;1;other
Wettringen;1;other
Bexbach;1;other
Donaustauf;1;other
Reußenköge;1;other
Bersteland OT Niewitz;1;other
Buttenwiesen;1;other
Osterrönfeld;1;other
Banzkow;1;other
Wittmar;1;other
Angern;1;other
Groß-Gerau;1;Frankfurt
Schleswig;1;other
Petersberg;1;Mannheim
Bottrop;1;Cologne
Hohenbrunn/ Riemerling;1;Munich
Rottenburg am Neckar;1;Stuttgart
Waldachtal;1;Stuttgart
Schmelz;1;other
Bad Orb;1;Frankfurt
Datteln;1;other
Talheim;1;Stuttgart
Bergkamen;1;other
Schopfheim;1;other
Volkertshausen;1;other
Oederan OT Breitenau;1;Leipzig
Tamm;1;Stuttgart
Mitterteich;1;other
Nossen;1;Leipzig
Weitnau;1;other
Einbeck;1;other
Pockau-Lengefeld;1;other
Daun;1;other
Mühlheim;1;Stuttgart
Glauchau;1;Leipzig
Gudensberg;1;other
Essenheim;1;Frankfurt
Elz;1;Frankfurt
Ponitz;1;Leipzig
Karlstein am Main;1;Frankfurt
Fichtenau;1;other
Winnweiler;1;Mannheim
Wang;1;Munich
Friesenried;1;other
Geseke;1;other
Kemnath;1;other
Vöhringen;1;other
Waldenburg;1;other
Wartenberg;1;Berlin
Hergensweiler;1;other
Blumberg;1;other
Stuhr;1;other
Bucha OT Schorba;1;other
Gottmadingen;1;other
Baiersbronn;1;Stuttgart
Langenbach;1;Munich
Weinböhla;1;other
Pansdorf;1;other
Schleusingen;1;other
Treis-Karden;1;other
Grafrath;1;Munich
Simbach a. Inn;1;other
Gehrden;1;other
Dahlenburg;1;Hamburg
Hennickendorf b. Strausberg;1;other
Soltau;1;Hamburg
Wunstorf;1;other
Bad Oldesloe;1;Hamburg
Siefersheim;1;Frankfurt
Wertingen;1;other
Heiligenberg;1;other
Feuchtwangen;1;other
Bad Mergentheim;1;other
Namborn-Roschberg;1;other
Oberkochen;1;Stuttgart
Oberschneiding;1;other
Bietigheim;1;Stuttgart
Gmund a.Tergernsee;1;other
Sande;1;other
Blaubeuren;1;Stuttgart
Waldenbuch;1;Stuttgart
Denkingen;1;other
Regenstauf;1;other
Hüttenberg;1;other
Oranienburg OT Zehlendorf;1;other
Wulften;1;other
Kernen im Remstal;1;Stuttgart
Eslohe;1;other
Ochtrup;1;other
Unterpleichfeld;1;other
Gottenheim;1;other
Swisttal;1;Cologne
Pleß;1;other
Schönenberg-Kübelberg;1;Mannheim
Wellheim-Konstein;1;other
Eppelheim;1;Frankfurt
Walzbachtal;1;Stuttgart
Volkach;1;other
Freital;1;other
Schwabach;1;other
Rödental;1;other
Andernach;1;Cologne
Glinde;1;Hamburg
Dürrwangen;1;other
Wennigsen;1;other
Heideck;1;other
Kelberg;1;Cologne
Vilshofen an der Donau;1;other
Aitrang;1;other
Saarbrücken-Jägersfreude;1;other
Allendorf (Lumda);1;Frankfurt
Leichlingen;1;Cologne
Schönau-Berzdorf;1;other
Schwebheim;1;other
Wolfsburg;1;other
Dachsbach;1;other
Frankenthal;1;Frankfurt
Glücksburg;1;other
Neckargemünd;1;Frankfurt
Dillingen a.d.Donau;1;other
Kirchhain;1;other
Lienen;1;other
Vogt;1;other
Ubstadt-Weiher;1;Stuttgart
Dudenhofen;1;Mannheim
Freudental;1;Stuttgart
Gärtringen;1;Stuttgart
Marschacht;1;Hamburg
Calvörde;1;other
Riß;1;other
Schwalbach;1;Frankfurt
Fischbachau-Greisbach;1;Munich
Nordstemmen;1;other
Wiesenbronn;1;other
Oerlinghausen;1;other
Hartenholm;1;Hamburg
Alt Tellin OT Siedenbüssow;1;other
Martinroda OT Angelroda;1;other
Kottgeisering;1;Munich
Todesfelde;1;Hamburg
Vettelschoß;1;Cologne
Erfurt OT Waltersleben;1;other
Wunsiedel;1;other
Zeitlarn;1;other
Wörth am Rhein;1;Stuttgart
Meitingen;1;Munich
Forst;1;other
Fischbach;1;other
Plattling;1;other
Pollenfeld;1;other
Höchberg;1;other
Kißlegg;1;other
Stein;1;other
Mönsheim;1;Stuttgart
Ahlden;1;other
Trebur;1;Frankfurt
Niddatal;1;Frankfurt
Uttenreuth;1;other
Bergkirchen;1;Munich
Oedheim;1;Stuttgart
Oberdischingen;1;Stuttgart
Pfaffenhofen a. d. Ilm;1;Munich
Schwabhausen;1;other
Cottbus OT Kiekebusch;1;other
Nordhalben;1;other
Schwerte;1;Cologne
Vallendar;1;Cologne
Leck;1;other
Meiningen;1;other
Salem;1;other
Kirchlinteln;1;other
Ebhausen;1;Stuttgart
Margetshöchheim;1;other
Blaustein;1;Stuttgart
Dischingen;1;other
Bendorf;1;other
Lützen;1;Leipzig
Danndorf;1;other
Baiern;1;other
Ruppichteroth;1;Cologne
Langenzenn;1;other
Salzhausen;1;Hamburg
Emmelshausen;1;other
Pfeffelbach;1;other
Hetzles;1;other
Oststeinbek;1;Hamburg
Kuddewörde;1;Hamburg
Georgensgmünd;1;other
Wolfertschwenden;1;other
Mertingen;1;other
Füssen;1;other
Strullendorf;1;other
Liederbach;1;Frankfurt
Kirchseeon;1;Munich
St. Michaelisdonn;1;Hamburg
Burgoberbach;1;other
Michelstadt;1;Frankfurt
Reichenau;1;other
Bad Endorf;1;Munich
Alfeld (Leine);1;other
Freiberg am Neckar;1;Stuttgart
Erlenbach;1;Stuttgart
Oberkrämer;1;Berlin
Elsfleth;1;other
Wilhelmsfeld;1;Frankfurt
Erkner;1;Berlin
Oberboihingen;1;Stuttgart
Traunstein;1;other
Hitzacker;1;other
Ginsheim-Gustavsburg;1;Frankfurt
Fürstenwalde/Spree;1;Berlin
Hepberg;1;Munich
Moritzburg OT Boxdorf;1;other
Oberschwarzach;1;other
Mutterstadt;1;Frankfurt
Creglingen;1;other
Rentweinsdorf;1;other
Wittstock/Dosse GT Randow;1;other
Hohenpeißenberg;1;Munich
Stemwede;1;other
Giengen an der Brenz;1;other
Schwanstetten;1;other
Flörsheim-Dalsheim;1;Frankfurt
Merseburg;1;Leipzig
Münsing;1;Munich
Woldegk;1;other
Wingerode;1;other
Steyerberg;1;other
Gaggenau;1;Stuttgart
Ehekirchen;1;Munich
Haren (Ems);1;other
Ruppertshofen;1;Frankfurt
Mudau;1;Frankfurt
Unkel;1;Cologne
Aue;1;other
Eisenach;1;other
Schwielowsee OT Caputh;1;other
Stegen;1;other
Dinslaken;1;Cologne
Sassenberg;1;other
Sulzbach an der Murr;1;Stuttgart
Kelsterbach;1;Frankfurt
Uhingen;1;Stuttgart
Lutherstadt Wittenberg OT Straach;1;other
Wilnsdorf;1;other
Osterhever;1;other
Tapfheim;1;other
Heide;1;other
Wald-Michelbach;1;Frankfurt
Rinteln;1;other
Tiefenbronn;1;Stuttgart
Bordersby OT Schönhagen;1;other
Neresheim;1;other
Burgstetten;1;Stuttgart
Nuthe-Urstromtal;1;Berlin
Hattersheim am Main;1;Frankfurt
Mainleus;1;other
Tirschenreuth;1;other
Reilingen;1;Stuttgart
Senftenberg OT Peickwitz;1;other
Hebertshausen;1;Munich
Itzehoe;1;Hamburg
Blankenheim;1;Cologne
Durbach;1;other
Schöneiche bei Berlin;1;Berlin
Hochspeyer;1;Mannheim
Schorndorf;1;Stuttgart
Weingarten;1;other
Volxheim;1;Frankfurt
Neu Wulmstorf;1;Hamburg
Birkenfeld;1;other
Delbrück;1;other
Wittstock/Dosse;1;other
Schechen;1;Munich
Calw;1;Stuttgart
Allendorf (Eder);1;other
Löningen;1;other
Gattendorf;1;other
Gundelfingen;1;other
Ebringen;1;other
Lübbecke;1;other
Kirchlengern;1;other
Neckarsulm;1;Stuttgart
Bischofsheim;1;other
Garrel;1;other
Waltrop;1;other
Königs Wusterhausen;1;Berlin
Düssseldorf;1;other
Wernau Neckar;1;Stuttgart
Oestrich-Winkel;1;Frankfurt
Grünhain-Beierfeld OT Beierfeld;1;other
Kappeln;1;other
Gunzenhausen;1;other
Mechow;1;Hamburg
Velburg;1;other
Duderstadt;1;other
Lehrte;1;other
Cölbe;1;other
Sehestedt;1;other
Icking;1;Munich
Neuhausen;1;other
Ottenhöfen im Schwarzwald;1;Stuttgart
Parsberg / OPf;1;other
Nieder-Olm;1;Frankfurt
Grevenbroich;1;Cologne
Rastede;1;other
Langstedt;1;other
Runkel-Dehrn;1;Frankfurt
Heddesheim;1;Frankfurt
Bibertal;1;other
Donauwörth;1;other
Brachttal;1;Frankfurt
Bad Berneck;1;other
Großkarolinenfeld;1;Munich
Buckow (Märkische Schweiz);1;Berlin
Bad Tennstedt;1;other
Groß Schwülper;1;other
Parthenstein;1;Leipzig
Immenhausen;1;other
Nidderau;1;Frankfurt
Alsheim;1;Frankfurt
Havixbeck;1;other
Velten;1;Berlin
Glienicke /Nordbahn;1;Berlin
Bitterfeld-Wolfen;1;Leipzig
Altshausen;1;other
Thür;1;Cologne
Bodenwöhr;1;other
Schliersee;1;Munich
Penzing;1;other
Rosengarten;1;Hamburg
Pressath;1;other
Laboe;1;other
Großrinderfeld;1;other
Otter;1;Hamburg
Groß Lindow;1;other
Langenargen;1;other
Neumarkt i.d.OPf;1;other
Rhens;1;Frankfurt
Nienburg (Weser);1;other
Pfaffenhofen an der Ilm;1;Munich
Oberhausen-Rheinhausen;1;Stuttgart
Marsberg;1;other
Östringen;1;Stuttgart
Elmenhorst;1;Hamburg
Hessisch Lichtenau;1;other
Vaterstetten;1;Munich
St. Ingbert;1;other
Hünfelden;1;Frankfurt
Röthenbach a.d.Pegnitz;1;other
Wassenberg;1;Cologne
Heiden;1;other
Hatten;1;other
Rheda-Wiedenbrück;1;other
Elbtal-Hangenmeilingen;1;Frankfurt
Schwedt/Oder;1;other
Lichtentanne;1;Leipzig
Hohenstein-Ernstthal;1;Leipzig
Hankensbüttel;1;other
Maselheim;1;other
Mühlenfließ;1;Berlin
Amelinghausen;1;Hamburg
Wachtendonk;1;Cologne
Röthlein;1;other
Neunburg vorm Wald;1;other
Bargteheide;1;Hamburg
