name1,name2,score
Baufi24,Brain4Media GmbH,51
ampere.cloud,Building Information Cloud GLWG GmbH,86
Demecan,MEMOREAN GmbH,64
Leukocare,RecruCare GmbH,60
anybill,teambilling GmbH,64
future.me,The Future Living INT GmbH,86
Hintbox,MINT Biotech GmbH,64
Bringman,Brandmann Destillerie GmbH,68
Customcells,CibusCell Technology GmbH,58
Tidely,Friendly Finance GmbH,60
Likeminded,Der kleine Gourmet GmbH,57
Operaize,MYNE Operations GmbH,68
ramblr.ai,WeSort.AI GmbH,86
36ZERO Vision,DIGITAL VISION GROUP GmbH,86
Herodikos,Visioverdis 2.0 GmbH,57
Stenon,Naturkomponisten GmbH,68
Utopia.de,TraumImmo.de GmbH,86
edyoucated,Native Technology Education GmbH,54
SkyFive,Daily Five GmbH,64
Seven Senders,Ventreneurs GmbH,55
Kiutra,Tessitura GmbH,62
Timeless,m4 wireless GmbH,68
finleap connect,Just Connect GmbH,61
Bloomwell Group,Yoove Mobility Group Holding GmbH,86
Entyre,Green Tree Farming GmbH,75
Resourcify,OneStop Pro Software Solutions GmbH,54
FORMEL Skin,CUTANEON - Skin & Hair Innovations GmbH,86
Mobius Labs,Bergsonne Labs GmbH,86
Julep Media,Louco Event Media GmbH,86
Orangery,tornero GmbH,61
Remagine,SECRET MAGIC GmbH,68
Hydrogenious Technologies,TG Technologies GmbH,71
RAMROD XR,grammar bricks GmbH,60
SourcingBot,SureIn GmbH,64
Bettr Egg,Better by Nature Beverages GmbH,67
Etvas,VetVisit GmbH,72
Friday Finance,,90
&Charge,r3charge Travel GmbH,90
Nuri,Destinaries GmbH,68
Peregrine.ai,Teamsports AI GmbH,86
SMAHO,Festmahl GmbH,72
Lumenaza,Visiolumen Technologie GmbH,66
rooom,Skillrooms GmbH,72
AIRICA,Paricam Therapeutics GmbH,75
Exciva,detective.solutions GmbH,60
epilot,Regpit GmbH,62
Taxdoo,Listando GmbH,62
Basking.io,Cryptoticker.io GmbH,86
AMZSCALE,Musical Bits GmbH,57
2b AHEAD Ventures Fund,Hyped Ventures GmbH,65
Impulse Dynamics,boltzplatz - numerical plasma dynamics GmbH,86
bitsCrunch,bitsCrunch GmbH,90
Machine26,Perceptive Machines GmbH,70
Fertilly,CALIMA Safety GmbH,57
SINN Power,Htwo Power 'n' Heat GmbH,86
yamuntu,Kipu Quantum GmbH,53
Softr,OneStop Pro Software Solutions GmbH,72
Aware,Aware Health GmbH,90
PraktArzt,Prosmartec GmbH,50
MeetAnyway,,60
Camunda,Beautinda GmbH,64
Evana,,72
LIQID Investments,Liquid Heritage GmbH,49
Next Matter,Next Step NM GmbH,86
Accure,DMD Nature GmbH,62
Helsing,Helsing GmbH,90
Emergence Therapeutics,Medraxa Therapeutics GmbH,68
NautilusLog,,60
Jurafuchs,Yugen Natural Cosmetics GmbH,50
FlyNex,REFLEX aerospace GmbH,68
Peers Solutions,OneStop Pro Software Solutions GmbH,86
FRAMEN,firmenessen GmbH,75
Architrave,r3charge Travel GmbH,63
NUMA Group,Yoove Mobility Group Holding GmbH,86
Knowunity,Skinuvita GmbH,50
tink,iTinker GmbH,90
SideCaps,Bobbele Ideas GmbH,61
Strollme,ZusammenStromen GmbH,68
Computomics GmbH,Htwo Power 'n' Heat GmbH,86
Endaxis,YF Ocean Distillers GmbH,64
Moovin,Gomoon GmbH,68
Sunfire,BonfireHQ GmbH,64
Vivid,Vivity Home GmbH,72
YAS.life,life is live GmbH,86
Comgy,Welcomy GmbH,76
AskBrian,,60
Clue,SenCircle GmbH,74
SOLAR OUTDOOR MEDIA GmbH,Bambustex GmbH,86
deepc,detective.solutions GmbH,72
Werbezeichen,Cooleben Technology GmbH,52
Bosque Foods,BK foods for you GmbH,86
Everphone,foreverontheblockchain GmbH,70
OWWN,C.W.G. Whistleblowing GmbH,68
Cliniserve,Bling Services GmbH,63
t3rn,Safari Erfrischungsgetränke GmbH,68
SO‚ÄôUSE,Happy House GmbH,62
Cevotec,Revoltech GmbH,77
Mercanis,,60
Solar Materials,SOLAR MATERIALS GmbH,95
Metshape,BEST - Basis effektiver Schmerztherapie GmbH,56
orderbird,ProperBird GmbH,70
Recyda GmbH,BCN Food Tech GmbH,86
re cap,inVenture Capital iVC GmbH,90
Electrochaea,ECOCarrier AG,56
LivEye GmbH,BCN Food Tech GmbH,86
Pitch,Switchboard GmbH,72
beatvest,Creativeaty GmbH,68
Keen Games,Neomateria Games GmbH,86
Medieninsider,immediate interaction GmbH,62
IOmx Therapeutics,Centaura Therapeutics GmbH,86
ZenML,ZenML GmbH,90
Pionierkraft,IonKraft GmbH,64
OntoChem,Untouched GmbH,68
Medwing,Crewting GmbH,64
PlusDental,,60
HiveMQ,urbanhive GmbH,68
persomatch GmbH,Htwo Power 'n' Heat GmbH,86
AeroSys,AeroSys AG,95
VillaCircle,Full Circle Moments GmbH,66
PlugVan,JETPLAN GmbH,62
Yptokey,HOKEY POKEY GmbH,74
Freaks 4U,OUTDOOR FREAKZ GmbH,60
Dental21,my Dental Education GmbH,68
Wiwin,Altea Vision GmbH,54
airfocus,Patronus Health GmbH,57
Duschkraft,Compare Verlagsgesellschaft mbH,57
Supercam,Digital Seals Supercomputing GmbH,79
tech11,BCN Food Tech GmbH,68
EnviDa Token,Time To Token IT GmbH,86
DIGITALSTAGE.IO,bilateralstimulation.io BLS GmbH,86
ROOM,Skillrooms GmbH,90
1Komma5¬∞,Digitaler Ernährungskompass GmbH,51
Layer,LAYZR GmbH,72
Avocargo,naoparo GmbH,61
AMSilk,teambilling GmbH,60
Felmo,Snacklafel GmbH,64
MotionMiners,Motion Advantage GmbH,57
mk2 Biotechnologies,Eximmium Biotechnologies GmbH,86
Happy Ocean Foods,Nature Foods Deutschland GmbH,86
ecoworks,SAM Network GmbH,64
Tiger Media,Louco Event Media GmbH,86
ucura Deutschland GmbH,Bambustex GmbH,86
Sugartrends,Center Smart Industrial Agriculture GmbH,58
Deep Neuron Lab,Luc & Dan´s Food Lab GmbH,86
wryte,DLiWR Technologies GmbH,72
Hyperganic,Kay Organics GmbH,63
Tradelite Solutions,OneStop Pro Software Solutions GmbH,86
Morressier,MoveMaster GmbH,54
portagon,Solarportal GmbH,68
musicube,Resicube GmbH,68
Coldplasmatech,Scopas Technologies GmbH,58
KNOWRON,VentoryOne GmbH,64
Next Big Thing,NEXT HORIZON MOBILITY GmbH,86
AutLay,TrustLane Solutions GmbH,60
BANOVO,,60
Circunomics,runamics GmbH,58
Immomio,Immojo GmbH,66
Nebula Biocides,EST biochem GmbH,49
Holo-Light,BE LIGHT NOW GmbH,86
Lottie,Calotti GmbH,75
Think RE,in.think GmbH,86
CUREosity,Autobahn Security GmbH,68
sigo,Altea Vision GmbH,68
Avelios Medical,CaDo Medical Solutions GmbH,86
MAYD Group,MAYD Group GmbH,90
ifesca,OZEN LifeScience GmbH,75
chembid,Place2Bid GmbH,66
Spoons of Taste,Spoon of Change GmbH,63
Evernest,foreverontheblockchain GmbH,68
Sterna Biologicals,,68
Verovaccines,Perceptive Machines GmbH,60
aifora,IFOHRA GmbH,75
Planetly,Blue Planet Food GmbH,74
xolo,Native Technology Education GmbH,68
Travelcircus,r3charge Travel GmbH,57
Virtonomy GmbH,Htwo Power 'n' Heat GmbH,86
plug&paid,Ing Plus AG,57
vivenu,Vitavegan GmbH,60
Turbit Systems,Virtual Trade Systems GmbH,86
Kranus Health,Health Data Technologies GmbH,86
OONIQUE,ROONIQ GmbH,71
Mitigant,,60
Kontist,moonsisters GmbH,64
Pamyra,Payrails GmbH,75
CarOnSale,,60
KENDAXA Group,Yoove Mobility Group Holding GmbH,86
Kulero,Finanzmakler.online GmbH,75
Hashtag You,BK foods for you GmbH,86
nxtbase,Plant Based Food GmbH,77
ONE LOGIC,Iteration One GmbH,86
Metalshub,LeaseHub GmbH,61
Advanced Blockchain,Mobias Mobility Advanced Solutions GmbH,86
peaq,Pexam GmbH,68
Aitme,LABMaiTE GmbH,76
Quantum Optics Jena,Quantum Enlightenment Technologies AG,86
cirplus,MONITOR Plus GmbH,64
Limitd,Unlimitix GmbH,75
peers.,gemineers GmbH,72
HIVEGEIST,Zeitgeist Beverages GmbH,60
ai-omatic solutions,OneStop Pro Software Solutions GmbH,86
Excelsea,metacells GmbH,56
CURE,PROCURELY GmbH,90
Clay,Clay Technologies GmbH,90
fina,Finanz-Werkzeuge GmbH,90
Coleap,Coleap Technology GmbH,90
Offsetted,BEST - Basis effektiver Schmerztherapie GmbH,50
matched.io,Cryptoticker.io GmbH,86
PIONIX,Pionix GmbH,90
Perkio,Hyperion Realms GmbH,75
DropStar,DPO STAR GmbH,68
Ninebarc,,60
Software Defined Automation,Software Defined Automation GmbH,95
LegalAI,REGUL.AI GmbH,64
conBOT.ai,WeSort.AI GmbH,86
Halitus,Habitus GmbH,77
Superlist,APERMALIST Light Solutions GmbH,70
Retalos,Hyperion Realms GmbH,66
propertunity.ai,CureCurve Medical AI GmbH,86
PLAN3T,AGT Roboplant GmbH,78
heyday,Heyyy GmbH,62
Denizen,medizen GmbH,71
independesk,Kinderspiele Apps GmbH,58
Gavel,Gavel GmbH,90
FOMA,allcompare GmbH,68
Pendulum,prepend GmbH,57
Fleksa,FLEAT. GmbH,60
Advosense,Thanatos Entertainment GmbH,60
Biohacking ORB GmbH,Q.24 GmbH,86
heronOS,Chronos M GmbH,77
Value Cloud,Building Information Cloud GLWG GmbH,86
HYLI,HYLI GmbH,90
ModelMe,dmg movement GmbH,64
Perfeggt,Perfect-iD GmbH,68
flygge,The Flying Cow GmbH,60
Heyrecruit,Recrutario GmbH,60
goCAD,goCAD GmbH,90
Solarize,WeDoSolar GmbH,66
StageMe,pubstage GmbH,71
vCOACH,Coachgarden GmbH,75
Ninetailed,retailmediatools GmbH,63
ACTIMI GmbH,ACTIMI GmbH,100
FRATCH.IO,Cryptoticker.io GmbH,86
TIO TIO,OneStop Pro Software Solutions GmbH,86
emplu,eMaple GmbH,72
Mainteny,Mainteny GmbH,90
hakuna,Hakuna GmbH,90
3Jguys GmbH,BCN Food Tech GmbH,86
MARA Solutions,MARA Solutions GmbH,95
Kern AI,WeSort.AI GmbH,86
Silverpine,Brandmann Destillerie GmbH,63
Text Cortex AI,CureCurve Medical AI GmbH,86
Elona Health,Elona Health GmbH,95
Vaayu,Vaayu Tech GmbH,90
HeyCharge,r3charge Travel GmbH,60
Kansi Solutions,OneStop Pro Software Solutions GmbH,86
ConstellR,SSC ContainerKultur Hamburg GmbH,60
Dearest,GoodBears GmbH,66
Prematch,PREMATCH Sports GmbH,90
Balance of Storage Systems AG,Revalu Impact AG,86
kitchX,KitchX GmbH,90
Nelly,Nelly Solutions GmbH,90
Weflow,Hexflow GmbH,75
oestreicher,ostermeier H2ydrogen Solutions GmbH,66
Naughty Nuts,,60
Fundcreators,Founders1 GmbH,54
Secfix,SECIO GmbH,62
Orbem,Storeberries GmbH,72
Vitamin,Vitamin P Software GmbH,90
EcoPals GmbH,EcoPals GmbH,100
Reverse.supply,reversely GmbH,64
elbwalker,For Real Overlander GmbH,50
Paraspot,Cito Transport Technologies GmbH,68
Skycharge,FEI Skincare GmbH,61
Character,r3charge Travel GmbH,60
aSR advanced Simulated Reality,Resility GmbH,54
Coinformation,Coinformation GmbH,95
askui,askui GmbH,90
Akhetonics,Akhetonics GmbH,90
FixFirst,Fairmaster GmbH,56
Remi,Remi Health GmbH,90
Strong by Form,Better by Nature Beverages GmbH,86
Fusion Bionic,Fusion Bionic GmbH,95
Newsbriefs,DeineBriefmarke GmbH,63
Konsilmed,genesis mediware GmbH,60
payactive,Active Signage GmbH,60
Beazy,Monetaz GmbH,57
Moving Parts,Atheneum Partners Holding GmbH,64
Phaseform,Klutch Perform GmbH,64
aparkado,naoparo GmbH,61
Twinu,CLINKTWIN GmbH,72
READO,betadots GmbH,72
Passionfroot,Passionfroot GmbH,95
refive,RRive GmbH,62
cureVision,cureVision GmbH,90
haeppie,haeppie Solutions GmbH,90
one ‚Ä¢ fƒ±ve,Iteration One GmbH,86
lemon.markets,Make Love and Aid GmbH,55
hexafarms,Organifarms GmbH,60
ContractHero,Smart Contracts Technologies AG,68
tucan.ai,WeSort.AI GmbH,86
DingoDot,digifoot GmbH,68
Hype1000,HYPE 1000 GmbH,79
debtify,Creatify GmbH,64
up.lftd,up.lftd GmbH,90
Bird Eats Bug,Mind Mates GmbH,57
Green Fusion,Green Tree Farming GmbH,86
Mindsurance,Teal Insurance Broker GmbH,74
Evercity,Masterversity GmbH,68
Kadmos,Kadmos GmbH,90
Reframd,FleetFrame GmbH,64
Staiy,STAI GmbH,76
Insightful,InsightfulMe GmbH,90
topi,Tabletop Lights & Magic GmbH,74
automaited,Proximity Robotics & Automation GmbH,63
enna,suena GmbH,74
sq[u]arely UG,Liquidary GmbH,52
ePilot Mobility,shared mobility services GmbH,86
yoona.ai,WeSort.AI GmbH,86
Monite,MONITOR Plus GmbH,75
Atlas Metrics,Atlas Metrics GmbH,95
Timber Base,BERG GaseTech GmbH,58
Skytale,SKO Strahlenschutzkurse-Online GmbH,64
Smatched,Smart Chains GmbH,68
cabuu,Bambustex GmbH,54
lifelive.io,Cryptoticker.io GmbH,86
alfatier GmbH,alfatier GmbH,100
digiblue,Digitaler Ernährungskompass GmbH,68
SQIN,Destinaries GmbH,68
Sub Capitals,Sub Capitals GmbH,95
Clustered,LuSense Digital Solutions GmbH,60
SPECTER Automation,Proximity Robotics & Automation GmbH,86
Flash,Flash Labs GmbH,90
OvO - Online vor Ort,SKO Strahlenschutzkurse-Online GmbH,86
Heatle,Zeoheat GmbH,68
CONXAI,SSC ContainerKultur Hamburg GmbH,75
Jungle Program,Angelize Program GmbH,86
haduken! UG,Hakuna GmbH,55
Coachinho,Coachinho GmbH,90
RideBee,Ride Cool GmbH,62
Levity,Football Elevaitor GmbH,75
Field,Sparkfield GmbH,90
Nevernot,foreverontheblockchain GmbH,68
Creatext,Creativeaty GmbH,68
mbly,teambilling GmbH,68
LifeTap,LifeTap GmbH,90
Alethea,Female Health & Pleasure GmbH,77
Phelas,H2Plas GmbH,68
Fyppit,Standfit.de GmbH,57
i-flow,I PLANTED GmbH,86
Dealcode GmbH,Dealcode GmbH,100
RISE,WeRise GmbH,90
Kwest,we speak fluent cx GmbH,57
seventhings,big little things GmbH,60
VoiceLine,ProDocLine GmbH,61
Digital Spine,Allwebuy Digital GmbH,86
Hyeia Medical,CaDo Medical Solutions GmbH,86
Climatiq,Climatiq Technologies GmbH,90
freque,foreverontheblockchain GmbH,60
SACL√ÄB,L.A.B. Cosmetics GmbH,86
Fairsich,Fairsich GmbH,90
Valuecase,Valuecase GmbH,90
SpexAI GmbH,BCN Food Tech GmbH,86
hitcap esports GmbH,Q.24 GmbH,86
ROADIA,Cargodian GmbH,75
memoresa,MEMOREAN GmbH,79
Goldn,Goldn GmbH,90
Petaments,Petaments GmbH,90
Rex,Rex Technologies GmbH,90
Ostrom,ZusammenStromen GmbH,75
RYDES,RYDES GmbH,90
Una Health,Una Health GmbH,90
jooli.com GmbH,Htwo Power 'n' Heat GmbH,86
eye2you,VEYNOU GmbH,57
WeProfit,wecraftjoy GmbH,56
FrontNow,,60
MERSOR,Nimmerso GmbH,78
Pland,Tippland GmbH,90
TicketO Mobility,shared mobility services GmbH,86
eevie - accelerating climate action,World for Climate GmbH,86
Seatti,Hanseatic Hygienics ViroClean GmbH,75
Daliado,Cocktailando GmbH,64
klaep,Snacklafel GmbH,72
Hyrise Academy,Gaming Academy GmbH,64
seedtrace,seedalive GmbH,60
Clare&me,clare&me GmbH,90
Civical,Matchical GmbH,66
UnitPlus,MONITOR Plus GmbH,56
Procuros,Procuros GmbH,90
PLANETICS,PLANIS E3 Empathy Engineering GmbH,68
Dance Masterclass,,60
The Good Workshop,The Future Living INT GmbH,86
Neuhauss Capital UG,Sub Capitals GmbH,61
randevu,ANDEAVA GmbH,64
CATHAGO,Quantagonia GmbH,64
truemetrics,Frenetic Sports GmbH,58
Sled,retailmediatools GmbH,68
Unosecur,Autobahn Security GmbH,68
Forenamics,Fortunalista GmbH,63
deepset,DeepScenario GmbH,77
GerneOhne,Wenger Technology GmbH,60
Meetsales,honeysales GmbH,61
sento.io,Cryptoticker.io GmbH,86
FinList,Fortunalista GmbH,64
Tapline,Tap2Link GmbH,77
credium,ESGendium GmbH,64
Dive platform GMBH,Q.24 GmbH,86
Verbally,Vally Technologies GmbH,66
Heylama,HeyLama GmbH,90
finmid,finmid GmbH,90
The Plate,The Future Living INT GmbH,86
Alpas,Papas Kräuter GmbH,76
whylab,Flash Labs GmbH,60
Tomorrow‚Äôs Education,Native Technology Education GmbH,86
Tanso,Tanso Technologies GmbH,90
Mateo,MATEO Estate GmbH,90
Deutsche Assets,Deutsche Content GmbH,66
WAKU Robotics,Griffig Robotics GmbH,86
Whoosh,Whos this GmbH,68
TOOLUP,retailmediatools GmbH,62
Mysoons,moonsisters GmbH,64
Theion,THEO App GmbH,68
Exakt Health,Health Data Technologies GmbH,86
Brajuu,Brajuu GmbH,90
Elexir,ELEXIR AG,90
THE CLIMATE CHOICE,The Yellow SiC Development GmbH,86
Better by Less,Better by Nature Beverages GmbH,86
Ahead App,Portfolio App GmbH,86
Liefergr√ºn,Htwo Power 'n' Heat GmbH,86
Lumaly,Smartlytix GmbH,60
Planstack,Stack ´n´ grill GmbH,67
EasyQuant,MetaQuant Technologies GmbH,70
FYTA,airrange software GmbH,68
JUCR,V-Juice GmbH,68
Meshmerize GmbH,Htwo Power 'n' Heat GmbH,86
Superbryte,Supercrafts GmbH,63
RobCo ‚Äì The Robot Company,CLIMB ROBOT GmbH,86
MATCHBASE,the matchmakers GmbH,70
Patronus Group,Yoove Mobility Group Holding GmbH,86
u impact | impact4good GmbH,impact4good GmbH,90
NODE Robotics,Griffig Robotics GmbH,86
heyvie,shared mobility services GmbH,60
cubemos,Rapid Cubes GmbH,64
Hoaly Foods,Hoaly Foods GmbH,95
Recommendy,Care Communications GmbH,63
Lite+Fog,United Food Kits GmbH,68
ESFORIN SE,Reactionlink SE Technologies GmbH,86
rebirth active,Innovative Robot Delivery GmbH,62
Collective Ace Group,Yoove Mobility Group Holding GmbH,86
Floy,Floy GmbH,90
Enua,suena GmbH,74
AAZZUR,Treazure Ark GmbH,60
Advanced Medical Balloons,Mobias Mobility Advanced Solutions GmbH,86
Blue Farm,Blue Planet Food GmbH,86
Sinpex,Sunshine Labs GmbH,62
Flip,Portfolio App GmbH,68
VIVERE,vier.ai GmbH,68
Neotiv,detective.solutions GmbH,60
iThera Medical,CaDo Medical Solutions GmbH,86
widu,Viadukt GmbH,68
GrOwnValve,,60
Genome Biologics,GOENOMICS GmbH,53
MobileBoost,Mobile Swimming Solutions GmbH,58
biddz,biddz GmbH,90
Mesalvo,Megavoid Studios GmbH,64
Harmonic Drive AG,AVAILY AG,86
Cluster,Pocuter GmbH,71
Onejoon,one4good GmbH,64
Abowire,Scopewire Data GmbH,64
Stabl Energy,Intelligent Energy Transformation GmbH,86
Axino Solutions,OneStop Pro Software Solutions GmbH,86
VesselSens,The greenest greens GmbH,54
Pydro,Hydroplace GmbH,72
BettaF!sh,eTafel GmbH,60
Skyroads,Digitaler Ernährungskompass GmbH,56
Endel,Building Enerlytics GmbH,72
CO2 Bioclean,Hanseatic Hygienics ViroClean GmbH,68
Adivo,Kardiolive GmbH,72
Airteam Aerial Intelligence,Analog Intelligence GmbH,67
BUILD & CODE,BUILD & CODE GmbH,95
LIMEBIRD,Applimeda GmbH,56
Foodji,Four Foodies FoodLabs GmbH,75
Schüttflix,stadtfix GmbH,55
Seqana,,72
Veggie Crumbz,VEgg GmbH,64
basenode.io,Cryptoticker.io GmbH,86
CALIMA,CALIMA Safety GmbH,90
Balanced - the Relationship app,THEO App GmbH,86
AVAILY,AVAILY AG,90
NeXtWind,GreenDentin GmbH,57
Lyto Brands Group,Yoove Mobility Group Holding GmbH,86
Filics,Building Enerlytics GmbH,60
CheckForPet,Black Forest Brewing GmbH,58
Cocoli,COCOLI GmbH,90
Konfetti,Konfetti GmbH,90
Get Your Sports,Shadow Your Future GmbH,86
JOKR,Njord GmbH,68
Reflex Aerospace,REFLEX aerospace GmbH,95
Fanblast,,60
VitaDAO,Listando GmbH,64
Kidling,Building Enerlytics GmbH,64
Choco,holy shocolate GmbH,72
Halm,AlphaMatch GmbH,68
Foodiary,GREENFORCE FUTURE FOOD AG,60
Coya,Yaloya GmbH,68
HealthMe,NM Healthtech GmbH,79
amberSearch,Fireball Search GmbH,62
Decorami,Directra GmbH,57
handly,,60
Authenteq - an FNZ company,Advanced Beauty Company GmbH,55
one • fıve,Iteration One GmbH,86
elvah,elevate Solutions GmbH,72
Airive,arive GmbH,75
XCharge,r3charge Travel GmbH,77
Milkly GmbH,Milkly GmbH,100
SACLÀB,GröGo Gemüseabo GmbH,54
ELEMENT Insurance,Teal Insurance Broker GmbH,86
Eat Wurscht,Eat 21 Foodlabs GmbH,86
Bavest Technologies,Quantum Enlightenment Technologies AG,86
match.care,match.care GmbH,90
KidsCircle.io,Cryptoticker.io GmbH,86
CATLABS,Gigaparsec DataLab GmbH,64
Actyx,Body Literacy GmbH,64
Zippeo,SimpleNow,53
FIRST A,L.A.B. Cosmetics GmbH,86
KYVE,Layover Solutions GmbH,68
Scooper Energy,Intelligent Energy Transformation GmbH,86
Entrix,SaasMetrix GmbH,78
Votebase,VoteBase GmbH,90
Liefergrün,LGE Energy Berlin GmbH,57
XU Group,Yoove Mobility Group Holding GmbH,86
360X,Maven360 GmbH,74
Fryd,VigorHydrogen AG,68
Fyrfeed,RockFeel GmbH,51
Balance Re,Balance 7 Health GmbH,86
RevoAI GmbH,BCN Food Tech GmbH,86
ValueWorks.ai,CureCurve Medical AI GmbH,86
aclipp,LitClip GmbH,62
Tidy,Trident Ars Machinarum GmbH,68
tokenstreet,Thanatos Entertainment GmbH,58
MyTaag,Myota GmbH,62
be+,beeboard GmbH,90
Meshcapade,K&P Medical Devices GmbH,54
Additive Scale,Additive Scale GmbH,95
Shavent,SAVE THE NATURE GmbH,64
SmartCloudFarming,Smart Chains GmbH,59
Mobile Healthcare Solutions,OIY Solutions GmbH,86
Voxalyze,Reevaze GmbH,57
KKN & PARTNER,Atheneum Partners Holding GmbH,70
Heydrate,BEST - Basis effektiver Schmerztherapie GmbH,57
Patronus Health,Patronus Health GmbH,95
Birdwingo,Building Enerlytics GmbH,60
Sablono,smaboo GmbH,66
ROY Kombucha,Privory GmbH,58
NAVIT,Skinuvita GmbH,72
Mavuno,Mavuno Technologies GmbH,90
Forget Finance,,90
HeyTimi,PHYTOMIC GmbH,64
PL BioScience,VaRi Bioscience GmbH,86
SenseAItion,Thanatos Entertainment GmbH,58
neurocat,neurodactics GmbH,68
System Akvile,Smart City System Parking Solutions GmbH,86
U-Sana Medical,CaDo Medical Solutions GmbH,86
Refoxy Pharma,APO Pharma Immun GmbH,86
Fischer | Data Science.,REACNOSTICS Modelling & Data Science GmbH,86
ere.health,Rekoo Health GmbH,86
JoyBräu,LuckyBrunch GmbH,60
REO,Reonic GmbH,90
Yolda,YOLLA Food & Tech GmbH,72
Dr. SAM,SAM Network GmbH,86
StackFuel,Snacklafel GmbH,61
Lumnion,GPC Solution GmbH,66
Löwenkind,ImmBlend GmbH,57
jooli.com,reitbuch.com GmbH,86
RobCo,Griffig Robotics GmbH,72
NMS PRIME,DEX prime GmbH,86
Villageboom,VILOOM GmbH,55
Regnology Group,Yoove Mobility Group Holding GmbH,86
Core Sensing,The Core Label GmbH,86
ABOUT YOU,BK foods for you GmbH,86
VAMOS.ai,WeSort.AI GmbH,86
PiNCAMP,Paricam Therapeutics GmbH,64
Sidepreneur.de,DASKrebsportal.de GmbH,86
Kayzen,Continental Payment GmbH,60
Mercavus,Hypercampus GmbH,68
rent24,Greentech GmbH,60
whoelse.ai,Teamsports AI GmbH,86
Koloko,Kakaloo GmbH,62
limbiq.com,reitbuch.com GmbH,86
boost,e-tailbooster GmbH,90
AUF Mobility,shared mobility services GmbH,86
Seashell,Compare Verlagsgesellschaft mbH,68
E-LLOYD,V.E.N.N. GmbH,86
Resolve BioSciences,VaRi Bioscience GmbH,62
Amie,soonami.io GmbH,74
German Bionic,German Organic Brands GmbH,86
Steadybit,Standfit.de GmbH,61
femtasy,Formtastic GmbH,64
VMRay,Privory GmbH,57
Mireca Medicine,CureCurve Medical AI GmbH,54
Phantasma Labs,Ambitional Training Labs GmbH,86
Black Manta Capital Partners,Rail-Parts GmbH,54
ecovium,eco.mio GmbH,53
TASKING,XPANSE Powertrain GmbH,64
Luminovo,Luminous Label GmbH,68
Q.BIG 3D,Big 3 Solutions GmbH,86
HARPOCRATES Solutions,OneStop Pro Software Solutions GmbH,86
Augmenteers,Ventreneurs GmbH,64
zenloop,ZenKoPA GmbH,64
Pickery,Officery.io GmbH,66
Key Partners Capital,Atheneum Partners Holding GmbH,86
nilo.health,Rekoo Health GmbH,86
Fastic,stafftastic GmbH,75
Frameright,Farmer.Digital GmbH,63
7Learnings,Digital Learning GmbH,72
U-Pax,Atheneum Partners Holding GmbH,72
GlassDollar,SOLAR MATERIALS GmbH,60
NCA,FEI Skincare GmbH,90
Lupiter,Body Literacy GmbH,64
NVision Imaging Technologies,TG Technologies GmbH,71
t7berlin,LGE Energy Berlin GmbH,68
Lunar Resources Registry,Lunar X GmbH,86
Kausa,aushang.online GmbH,72
EcoPhi Renewables Engineering GmbH,BCN Food Tech GmbH,86
CodeSubmit,CFO Suite GmbH,50
Dryad Networks,Arda Network GmbH,65
HELIOT Europe,European Plasmid Repository GmbH,53
BLOXS,SOLIOS DIAGNOSTICS GmbH,57
optilyz,Schlosspilze GmbH,64
nevisQ,Alicante Vice GmbH,60
NATIX,Native Technology Education GmbH,72
Idana,,72
VREEDA GmbH,BCN Food Tech GmbH,86
Beelinguapp,pipeline App GmbH,58
MushLabs,Flash Labs GmbH,68
ICO-LUX GmbH,BCN Food Tech GmbH,86
Spearad,SparePartsNow GmbH,64
STM-Cars,Smart City System Parking Solutions GmbH,68
Temedica,deepeye Medical GmbH,79
BELANO medical,CaDo Medical Solutions GmbH,86
Bullfinch,teambilling GmbH,53
Mintbase,Plant Based Food GmbH,68
Valnet,TALENT SAXONY GmbH,62
Motius,Polymetis GmH,62
Streamboost,Green Streams GmbH,67
Media4Care,genesis mediware GmbH,67
Nominandum,,90
Atmo Home,Vivity Home GmbH,86
TONI CORE,The Core Label GmbH,86
Taxy.io,Cryptoticker.io GmbH,86
Ubimax,Revalu Impact AG,60
Caya,MAYLA GmbH,68
Meditopia,Louco Event Media GmbH,61
Gapless,Grapes GmbH,66
FinCompare - Smarter Business Finance,Happy Business GmbH,86
Freeletics,Frenetic Sports GmbH,72
QR,Qruise GmbH,90
Sono Motors,Beyond Emotion GmbH,58
enduco,Vilendo GmbH,68
Nect,Just Connect GmbH,90
Workist,Plantyworks GmbH,71
SHAPE ME,Preevent.me GmbH,86
Garden,Coachgarden GmbH,90
Senodis,ESGendium GmbH,64
Cinference,REACNOSTICS Modelling & Data Science GmbH,64
presize.ai,Teamsports AI GmbH,86
VRdirect,Directra GmbH,68
Carmino,Pharmio GmbH,66
Myo,MYOact GmbH,90
AtomLeap,SatoSea Oncology GmbH,61
delphai,Teslair GmbH,53
faam.ly by Kid-Coins GmbH,Bambustex GmbH,86
P.S. Coooperation,That's it International GmbH,86
Amvisor GmbH,BCN Food Tech GmbH,86
Passion.io,Cryptoticker.io GmbH,86
Additive Marking,Additive Scale GmbH,64
Mataono,Intelligent Energy Transformation GmbH,66
K | Lens,K&P Medical Devices GmbH,86
Block chance Europe,,60
Kraftblock,Pflanzenkraft GmbH,57
Certif-ID International GmbH,BCN Food Tech GmbH,86
Tourlane,,60
