name1,name2,score
b.fab,L.A.B. Cosmetics GmbH,86
Twinner,TwinOne GmbH,77
Compado,allcompare GmbH,64
Feebris,Offerista Group GmbH,64
Infarm,Coinformation GmbH,75
zolar,Solarportal GmbH,72
Medipee,medizen GmbH,64
VYTAL,Polytalon GmbH,72
Hygraph,Grapes GmbH,61
Robotise,Griffig Robotics GmbH,79
Pottsalat,Solarportal GmbH,57
FELS Group - FollowMyMoney,MAYD Group GmbH,86
WorkMotion,Coinformation GmbH,63
CURE,PROCURELY GmbH,90
Personio,AISuperVision GmbH,68
project bcause,ORILABO Project GmbH,64
FERNRIDE,Storeberries GmbH,57
Composable Finance,,90
VoltStorage,gut.org invest GmbH,54
SONAH GmbH,BCN Food Tech GmbH,86
Bitadata,Scopewire Data GmbH,56
HarvestAi,MicroHarvest GmbH,75
Culcha,equalchamps GmbH,75
XPAY Group,Yoove Mobility Group Holding GmbH,86
Axiom AI,WeSort.AI GmbH,86
Beautinda,Beautinda GmbH,90
Share,shared mobility services GmbH,90
Klim,Applimeda GmbH,68
Kombuchery,Klutch Perform GmbH,54
Conntac,Smart Contracts Technologies AG,77
eatPlants,EatMyPlants GmbH,72
Swarm Logistics,1drone swarm technologies GmbH,86
Expertlead,Xpect AG,56
MicroHarvest,MicroHarvest GmbH,95
Vay,VAYS GmbH,90
Watchmaster,the matchmakers GmbH,66
Packwise,paywise GmbH,68
Token Fabrik,Time To Token IT GmbH,86
Greple,Green Aureus GmbH,62
Unifai,LUNIFA Cosmetics GmbH,78
Planty Of Meat,World of Truffle GmbH,86
Contentful,Continental Payment GmbH,63
NexWafe,Liveware GmbH,53
Bluu Seafood,Blue Planet Food GmbH,57
Kubermatic,neurodactics GmbH,54
Cansativa Group,Yoove Mobility Group Holding GmbH,86
Beams,Massive Beams GmbH,90
Sastrify,pulsatrix GmbH,61
Trade Republic,Virtual Trade Systems GmbH,86
Actio,Reactionlink SE Technologies GmbH,90
WARGdrones,cargonerds GmbH,63
Worldcoin,World for Climate GmbH,61
Becanex,,60
Holidu,Yoholida GmbH,75
Haferkater,SafeGate GmbH,58
Volocopter,The Closest Loop GmbH,54
VIRO,Nimevio GmbH,74
Aedifion,Vaeridion GmbH,68
Mammaly,MAMAY GmbH,56
MotionsCloud,Building Information Cloud GLWG GmbH,75
Rocket Factory Augsburg,eROCKIT AG,63
FALCOMM,PLAZA Digital Communication & Innovation GmbH,77
Grovy,Proovy Software GmbH,72
ValueDesk,medicalvalues GmbH,68
Planet A Foods (formerly QOA),Gaudy Foods GmbH,86
feelfood,RockFeel GmbH,57
Seawater Cubes,seatron GmbH,54
SMAFO,smaboo GmbH,72
D√ñRRWERK,Vitamin D GmbH,86
INHUBBER,sinnesräuber GmbH,56
Agrimand,,60
Sensefinity,LuSense Digital Solutions GmbH,66
Zooplus UK,Modoplus GmbH,61
ATAI Life Sciences,NeoNature LifeScience GmbH,64
Xpoli,poolinq GmbH,72
SPARETECH,Inspire Technologies GmbH,70
Ada Health,Rekoo Health GmbH,86
Kwara,GoKarla GmbH,72
Rows,Xoros Home GmbH,74
Build.One,Iteration One GmbH,86
Heyflow,Hexflow GmbH,77
Getestet.de,TraumImmo.de GmbH,86
4Gene,Building Enerlytics GmbH,72
Apiida,Rapid Cubes GmbH,68
COOKO,UrCook GmbH,76
air up,Compressed Air Kraftwerk GmbH,86
Kianava,ANDEAVA GmbH,64
MAYD,MAYD Group GmbH,90
gitti,Logistikbude GmbH,72
PACTA.,Revalu Impact AG,72
HomeToGo,SafeHome GmbH,57
OOHLEMON,WhalesDontFly H&F GmbH,56
Global Savings Group,Yoove Mobility Group Holding GmbH,86
Mimi Hearing Technologies,TG Technologies GmbH,71
Noyes technologies,Noyes Technologies GmbH,95
MILES,Digital Smiles GmbH,90
PAXLY,LReply GmbH,64
jobvalley,Football Elevaitor GmbH,60
Event,Preevent.me GmbH,90
Moanah,Mana Farms GmbH,62
Premium.xl,Remi Health GmbH,54
Wisefood,Plant Based Food GmbH,68
Edurino,vime drink GmbH,64
Immutable Insight,ImmBlend GmbH,60
KEWAZO,Okeanos Smart Data Solutions GmbH,60
Kopernikus Automotive,KPE-Automation GmbH,55
UX3D,logiccloud AG,57
bex technologies,FOGSTER Technologies GmbH,86
cofenster,MoveMaster GmbH,60
troy,Monestry GmbH,74
